"내일	"/SS + 내일/NNG
63·관세사·부산	63/SN + ·/SP + 관세사/NNG + ·/SP + 부산/NNP
중구	중구/NNP

◈입국심사	◈/SW + 입국/NNG + 심사/NNG
내국인	내국인/NNG
역차별	역차별/NNG

업무상	업무/NNG + 상/XSN
세계	세계/NNG
각국을	각국/NNG + 을/JKO
자주	자주/MAG
여행다니면서	여행/NNG + 다니/VV + 면서/EC
귀국	귀국/NNG
때마다	때/NNG + 마다/JX
느끼는	느끼/VV + 는/ETM
점이	점/NNG + 이/JKS
있다.	있/VV + 다/EF + ./SF

입국	입국/NNG
심사	심사/NNG
때	때/NNG
내국인은	내국인/NNG + 은/JX
외국인에	외국인/NNG + 에/JKB
비해	비하/VV + 아/EC
언제나	언제나/MAG
긴	길/VA + ㄴ/ETM
줄을	줄/NNG + 을/JKO
서야	서/VV + 어야/EC
한다는	하/VX + ㄴ다는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

외국인은	외국인/NNG + 은/JX
거의	거의/MAG
기다림	기다리/VV + ㅁ/ETN
없이	없이/MAG
입국	입국/NNG
심사대를	심사대/NNG + 를/JKO
빠져	빠지/VV + 어/EC
나가는데,	나가/VX + 는데/EC + ,/SP
내국인은	내국인/NNG + 은/JX
예외	예외/NNG
없이	없이/MAG
외국인에	외국인/NNG + 에/JKB
비해	비하/VV + 아/EC
긴	길/VA + ㄴ/ETM
줄에	줄/NNG + 에/JKB
서서	서/VV + 어서/EC
시간을	시간/NNG + 을/JKO
보내야	보내/VV + 어야/EC
한다.	하/VX + ㄴ다/EF + ./SF

내가	내/NP + 가/JKS
아는	알/VV + 는/ETM
한,	한/NNG + ,/SP
한국인은	한국인/NNG + 은/JX
해외에서	해외/NNG + 에서/JKB
차별받고	차별/NNG + 받/VV + 고/EC
자기	자기/NP
나라에서	나라/NNG + 에서/JKB
마저	마저/MAG
우대받지	우대/NNG + 받/VV + 지/EC
못하는	못하/VX + 는/ETM
유일한	유일/NNG + 하/XSA + ㄴ/ETM
국민이다.	국민/NNG + 이/VCP + 다/EF + ./SF

어느	어느/MM
나라든	나라/NNG + 이/VCP + 든/EC
납세자인	납세자/NNG + 이/VCP + ㄴ/ETM
자국민을	자국민/NNG + 을/JKO
우대하는	우대/NNG + 하/XSV + 는/ETM
듯한	듯/NNB + 하/XSA + ㄴ/ETM
시스템을	시스템/NNG + 을/JKO
갖고	갖/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

미국은	미국/NNP + 은/JX
시민권자나	시민권자/NNG + 나/JC
영주권자에게	영주권자/NNG + 에게/JKB
차별화된	차별/NNG + 화/XSN + 되/XSV + ㄴ/ETM
서비스를	서비스/NNG + 를/JKO
제공하고,	제공/NNG + 하/XSV + 고/EC + ,/SP
EU는	EU/SL + 는/JX
역내	역내/NNG
시민권자들은	시민권자/NNG + 들/XSN + 은/JX
1~2분	1/SN + ~/SO + 2/SN + 분/NNB
내	나/NP + 의/JKG
입국	입국/NNG
심사를	심사/NNG + 를/JKO
끝내는	끝내/VV + 는/ETM
반면,	반면/NNG + ,/SP
역외자는	역외자/NNG + 는/JX
통상	통상/NNG
10~20분(런던은	10/SN + ~/SO + 20/SN + 분/NNB + (/SS + 런던/NNP + 은/JX
30분	30/SN + 분/NNB
이상	이상/NNG
소요)의	소요/NNG + )/SS + 의/JKG
긴	길/VA + ㄴ/ETM
줄을	줄/NNG + 을/JKO
서야	서/VV + 어야/EC
한다.	하/VX + ㄴ다/EF + ./SF

관계당국은	관계/NNG + 당국/NNG + 은/JX
입국	입국/NNG
심사	심사/NNG
때	때/NNG
내·외국인의	내/NNG + ·/SP + 외국인/NNG + 의/JKG
구분을	구분/NNG + 을/JKO
아예	아예/MAG
없애거나	없애/VV + 거나/EC
내국인	내국인/NNG
전용	전용/NNG
창구의	창구/NNG + 의/JKG
비중을	비중/NNG + 을/JKO
대폭	대폭/MAG
늘려	늘리/VV + 어/EC
산술적으로라도	산술/NNG + 적/XSN + 으로/JKB + 이/VCP + 라도/EC
내·외국인이	내/NNG + ·/SP + 외국인/NNG + 이/JKS
입국	입국/NNG
심사에	심사/NNG + 에/JKB
비슷한	비슷/XR + 하/XSA + ㄴ/ETM
시간이	시간/NNG + 이/JKS
소요되도록	소요/NNG + 되/XSV + 도록/EC
배려했으면	배려/NNG + 하/XSV + 았/EP + 으면/EC
한다.	하/VX + ㄴ다/EF + ./SF

/조영관	//SP + 조영관/NNP
48·회사원·서울	48/SN + ·/SP + 회사원/NNG + ·/SP + 서울/NNP
영등포구	영등포구/NNP

◈車인도	◈/SW + 車/SH + 인도/NNG
늦어져	늦/VV + 어/EC + 지/VX + 어/EC
손해	손해/NNG

지난	지나/VV + ㄴ/ETM
5월	5/SN + 월/NNB
20일	20/SN + 일/NNB
카렌스를	카렌스/NNG + 를/JKO
구입하였다.	구입/NNG + 하/XSV + 았/EP + 다/EF + ./SF

계약서를	계약서/NNG + 를/JKO
받을	받/VV + 을/ETM
때	때/NNG
영업사원이	영업/NNG + 사원/NNG + 이/JKS
인도기한을	인도/NNG + 기한/NNG + 을/JKO
90일로	90/SN + 일/NNB + 로/JKB
하면서	하/VV + 면서/EC
30~40일	30/SN + ~/SO + 40/SN + 일/NNB
정도면	정도/NNG + 이/VCP + 면/EC
충분하다고	충분/XR + 하/XSA + 다고/EC
하였다.	하/VV + 았/EP + 다/EF + ./SF

그런데	그런데/MAJ
차츰차츰	차츰차츰/MAG
늦어지더니	늦/VV + 어/EC + 지/VX + 더니/EC
8월	8/SN + 월/NNB
중순에야	중순/NNG + 에/JKB + 야/JX
차가	차/NNG + 가/JKS
나온다고	나오/VV + ㄴ다고/EC
한다.	하/VX + ㄴ다/EF + ./SF

차량	차량/NNG
인도가	인도/NNG + 가/JKS
늦어지는	늦/VA + 어/EC + 지/VX + 는/ETM
이유를	이유/NNG + 를/JKO
알아보니	알아보/VV + 니/EC
노조파업	노조/NNG + 파업/NNG
때문이라고	때문/NNB + 이/VCP + 라고/EC
하는데,	하/VV + 는데/EC + ,/SP
영업사원만	영업/NNG + 사원/NNG + 만/JX
와서	오/VV + 아서/EC
머리를	머리/NNG + 를/JKO
숙이고	숙이/VV + 고/EC
가고	가/VV + 고/EC
회사에서는	회사/NNG + 에서/JKB + 는/JX
한마디도	한마디/NNG + 도/JX
없다.	없/VA + 다/EF + ./SF

특소세	특소세/NNG
문제도	문제/NNG + 도/JX
있고,	있/VV + 고/EC + ,/SP
생활도	생활/NNG + 도/JX
불편하지만	불편/NNG + 하/XSA + 지만/EC
취소하려고	취소/NNG + 하/XSV + 려고/EC
하니	하/VX + 니/EC
지금까지	지금/NNG + 까지/JX
기다린	기다리/VV + ㄴ/ETM
게	것/NNB + 이/JKS
억울하다.	억울/XR + 하/XSA + 다/EF + ./SF

이럴	이렇/VA + ㄹ/ETM
때	때/NNG
불쌍한	불쌍/XR + 하/XSA + ㄴ/ETM
서민은	서민/NNG + 은/JX
어디에	어디/NP + 에/JKB
하소연해야	하소연/NNG + 하/XSV + 아야/EC
하나.	하/VX + 나/EF + ./SF

다시	다시/MAG
찬찬히	찬찬히/MAG
계약서를	계약서/NNG + 를/JKO
읽어보니	읽/VV + 어/EC + 보/VX + 니/EC
회사가	회사/NNG + 가/JKS
위반시	위반/NNG + 시/NNB
규정은	규정/NNG + 은/JX
아주	아주/MAG
미약하기	미약/XR + 하/XSA + 기/ETN
이를	이르/VV + ㄹ/ETM
데	데/NNB
없다.	없/VA + 다/EF + ./SF

늦게	늦/VA + 게/EC
나온다고	나오/VV + ㄴ다고/EC
차량	차량/NNG
가격을	가격/NNG + 을/JKO
할인해주거나	할인/NNG + 하/XSV + 아/EC + 주/VX + 거나/EC
교통비를	교통비/NNG + 를/JKO
대주는	대/VV + 어/EC + 주/VX + 는/ETM
것도	것/NNB + 도/JX
아니지	아니/VCN + 지/EC
않은가.	않/VX + 은가/EF + ./SF

단돈	단돈/NNG
1만원짜리도	1/SN + 만/NR + 원/NNB + 짜리/XSN + 도/JX
하루	하루/NNG
만에	만/NNB + 에/JKB
배달해	배달/NNG + 하/XSV + 아/EC
주는	주/VX + 는/ETM
세상에서	세상/NNG + 에서/JKB
비싼	비싸/VA + ㄴ/ETM
차를	차/NNG + 를/JKO
배달받을	배달/NNG + 받/VV + 을/ETM
때는	때/NNG + 는/JX
배달료도	배달료/NNG + 도/JX
소비자가	소비자/NNG + 가/JKS
낸다.	내/VV + ㄴ다/EF + ./SF

/김영금	//SP + 김영금/NNP
49·공무원·강원	49/SN + ·/SP + 공무원/NNG + ·/SP + 강원/NNP
강릉시	강릉시/NNP

◈면허갱신	◈/SW + 면허/NNG + 갱신/NNG
신검	신검/NNG
형식적	형식/NNG + 적/XSN

며칠	며칠/NNG
전	전/NNG
면허증	면허증/NNG
갱신을	갱신/NNG + 을/JKO
위해	위하/VV + 아/EC
서부	서부/NNG
면허시험장을	면허/NNG + 시험장/NNG + 을/JKO
찾았다가	찾/VV + 았/EP + 다가/EC
무성의한	무/XPN + 성의/NNG + 하/XSA + ㄴ/ETM
절차에	절차/NNG + 에/JKB
비해	비하/VV + 아/EC
턱없이	턱없이/MAG
비싼	비싸/VA + ㄴ/ETM
신체검사비에	신체검사비/NNG + 에/JKB
기분이	기분/NNG + 이/JKS
상했다.	상하/VV + 았/EP + 다/EF + ./SF

2종	2/SN + 종/NNG
면허를	면허/NNG + 를/JKO
딴	따/VV + ㄴ/ETM
뒤	뒤/NNG
10년간	10/SN + 년/NNB + 간/NNG
무사고여서	무/XPN + 사고/NNG + 이/VCP + 어서/EC
1종으로	1/SN + 종/NNG + 으로/JKB
면허를	면허/NNG + 를/JKO
재교부	재/XPN + 교부/NNG
받으러	받/VV + 으러/EC
갔더니	가/VV + 았/EP + 더니/EC
면허증	면허증/NNG
발급비용	발급/NNG + 비용/NNG
5000원	5000/SN + 원/NNB
이외에	이외/NNG + 에/JKB
신체검사비	신체검사비/NNG
5000원을	5000/SN + 원/NNB + 을/JKO
따로	따로/MAG
받았다.	받/VV + 았/EP + 다/EF + ./SF

그러나	그러나/MAJ
신체검사는	신체검사/NNG + 는/JX
신체검사라고	신체검사/NNG + 이/VCP + 라고/EC
하기가	하/VV + 기/ETN + 가/JKS
민망할	민망/XR + 하/XSA + ㄹ/ETM
정도로	정도/NNG + 로/JKB
너무	너무/MAG
형식적이고	형식/NNG + 적/XSN + 이/VCP + 고/EC
허술했다.	허술/XR + 하/XSA + 았/EP + 다/EF + ./SF

좌우측	좌우/NNG + 측/NNB
눈을	눈/NNG + 을/JKO
번갈아	번갈/VV + 아/EC
가리고	가리/VV + 고/EC
시력	시력/NNG
검사를	검사/NNG + 를/JKO
받은	받/VV + 은/ETM
뒤	뒤/NNG
양손을	양손/NNG + 을/JKO
확인하고	확인/NNG + 하/XSV + 고/EC
그	그/MM
뒤	뒤/NNG
색맹	색맹/NNG
검사용	검사/NNG + 용/XSN
책자를	책자/NNG + 를/JKO
읽는	읽/VV + 는/ETM
것으로	것/NNB + 으로/JKB
신체검사가	신체검사/NNG + 가/JKS
끝났다.	끝나/VV + 았/EP + 다/EF + ./SF

이런	이런/MM
검사에	검사/NNG + 에/JKB
5000원을	5000/SN + 원/NNB + 을/JKO
지급할	지급/NNG + 하/XSV + ㄹ/ETM
이유가	이유/NNG + 가/JKS
없다는	없/VA + 다는/ETM
생각이	생각/NNG + 이/JKS
들어,	들/VV + 어/EC + ,/SP
담당	담당/NNG
직원에게	직원/NNG + 에게/JKB
다시	다시/MAG
가서	가/VV + 아서/EC
따졌더니	따지/VV + 었/EP + 더니/EC
정부가	정부/NNG + 가/JKS
정한	정하/VV + ㄴ/ETM
요금이라	요금/NNG + 이/VCP + 라/EC
어느	어느/MM
면허시험장이나	면허/NNG + 시험장/NNG + 이나/JC
병·의원	병/NNG + ·/SP + 의원/NNG
모두	모두/MAG
같은	같/VA + 은/ETM
값이라고	값/NNG + 이/VCP + 라고/EC
설명했다.	설명/NNG + 하/XSV + 았/EP + 다/EF + ./SF

특별히	특별히/MAG
고가의	고가/NNG + 의/JKG
장비를	장비/NNG + 를/JKO
사용하는	사용/NNG + 하/XSV + 는/ETM
것도	것/NNB + 도/JX
아니고	아니/VCN + 고/EC
고도의	고도/NNG + 의/JKG
전문지식을	전문/NNG + 지식/NNG + 을/JKO
요하는	요하/VV + 는/ETM
검사도	검사/NNG + 도/JX
아니다.	아니/VCN + 다/EF + ./SF

1분도	1/SN + 분/NNB + 도/JX
안	안/MAG
걸리는	걸리/VV + 는/ETM
검사에	검사/NNG + 에/JKB
5000원이라는	5000/SN + 원/NNB + 이/VCP + 라는/ETM
돈을	돈/NNG + 을/JKO
지급하는	지급/NNG + 하/XSV + 는/ETM
것은	것/NNB + 은/JX
아무리	아무리/MAG
생각해도	생각/NNG + 하/XSV + 아도/EC
납득하기	납득/NNG + 하/XSV + 기/ETN
힘들다.	힘들/VA + 다/EF + ./SF

또	또/MAG
무조건	무조건/MAG
정부가	정부/NNG + 가/JKS
정한	정하/VV + ㄴ/ETM
일이라고	일/NNG + 이/VCP + 라고/EC
답하는	답/NNG + 하/XSV + 는/ETM
것으로	것/NNB + 으로/JKB
책임을	책임/NNG + 을/JKO
회피하는	회피/NNG + 하/XSV + 는/ETM
공무원들의	공무원/NNG + 들/XSN + 의/JKG
안일한	안일/NNG + 하/XSA + ㄴ/ETM
태도도	태도/NNG + 도/JX
실망스러웠다.	실망/NNG + 스럽/XSA + 었/EP + 다/EF + ./SF

서울에서	서울/NNP + 에서/JKB
열리고	열리/VV + 고/EC
있는	있/VX + 는/ETM
세계여성경찰대회에서	세계/NNG + 여성/NNG + 경찰/NNG + 대회/NNG + 에서/JKB
매춘	매춘/NNG
단속으로	단속/NNG + 으로/JKB
기억되고	기억/NNG + 되/XSV + 고/EC
있는	있/VX + 는/ETM
김강자(金康子)	김강자/NNP + (/SS + 金康子/SH + )/SS
총경의	총경/NNG + 의/JKG
매춘단속의	매춘/NNG + 단속/NNG + 의/JKG
풍선효과에	풍선/NNG + 효과/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
주제발표가	주제/NNG + 발표/NNG + 가/JKS
있어	있/VV + 어/EC
눈길을	눈길/NNG + 을/JKO
끌었다.	끌/VV + 었/EP + 다/EF + ./SF

사창가를	사창가/NNG + 를/JKO
단속하면	단속/NNG + 하/XSV + 면/EC
매춘녀들은	매춘녀/NNG + 들/XSN + 은/JX
마치	마치/MAG
밑동	밑동/NNG
잘린	잘리/VV + ㄴ/ETM
풍선처럼	풍선/NNG + 처럼/JKB
그	그/MM
현장을	현장/NNG + 을/JKO
떠나긴	떠나/VV + 기/ETN + ㄴ/JX
한다.	하/VX + ㄴ다/EF + ./SF

떠오른	떠오르/VV + ㄴ/ETM
풍선이	풍선/NNG + 이/JKS
터져	터지/VV + 어/EC
사라지면	사라지/VV + 면/EC
좋겠지만	좋/VA + 겠/EP + 지만/EC
너울너울	너울너울/MAG
날아	날/VV + 아/EC
어디선가	어디/NP + 서/JKB + 이/VCP + ㄴ가/EC
다시	다시/MAG
자리잡으니	자리/NNG + 잡/VV + 으니/EC
풍선을	풍선/NNG + 을/JKO
이동시킨	이동/NNG + 시키/XSV + ㄴ/ETM
효과밖에	효과/NNG + 밖에/JX
없음을	없/VA + 음/ETN + 을/JKO
통계로	통계/NNG + 로/JKB
제시한	제시/NNG + 하/XSV + ㄴ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

특정지역에서	특정/NNG + 지역/NNG + 에서/JKB
단속해	단속/NNG + 하/XSV + 아/EC
150명을	150/SN + 명/NNB + 을/JKO
이주시켰는데	이주/NNG + 시키/XSV + 었/EP + 는데/EC
뒤를	뒤/NNG + 를/JKO
추적했더니	추적/NNG + 하/XSV + 았/EP + 더니/EC
143명이	143/SN + 명/NNB + 이/JKS
다른	다른/MM
곳에	곳/NNG + 에/JKB
가서	가/VV + 아서/EC
매춘노릇을	매춘/NNG + 노릇/NNG + 을/JKO
하고	하/VV + 고/EC
있었다는	있/VX + 었/EP + 다는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

풍선효과는	풍선/NNG + 효과/NNG + 는/JX
옛날부터	옛날/NNG + 부터/JX
있어왔다.	있/VV + 어/EC + 오/VX + 았/EP + 다/EF + ./SF

태종	태종/NNP
11년에	11/SN + 년/NNB + 에/JKB
조정에서	조정/NNG + 에서/JKB
창기(娼妓)를	창기/NNG + (/SS + 娼妓/SH + )/SS + 를/JKO
폐하는	폐하/VV + 는/ETM
논의가	논의/NNG + 가/JKS
있었는데	있/VV + 었/EP + 는데/EC
모든	모든/MM
조정신하들이	조정/NNG + 신하/NNG + 들/XSN + 이/JKS
임금의	임금/NNG + 의/JKG
뜻을	뜻/NNG + 을/JKO
받들어	받들/VV + 어/EC
매춘제도의	매춘/NNG + 제도/NNG + 의/JKG
폐지를	폐지/NNG + 를/JKO
찬성했으나	찬성/NNG + 하/XSV + 았/EP + 으나/EC
유독	유독/MAG
하륜(河崙)만이	하륜/NNP + (/SS + 河崙/SH + )/SS + 만/JX + 이/JKS
반대했고	반대/NNG + 하/XSV + 았/EP + 고/EC
이에	이/NP + 에/JKB
임금은	임금/NNG + 은/JX
웃으며	웃/VV + 으며/EC
하륜의	하륜/NNP + 의/JKG
의견에	의견/NNG + 에/JKB
따랐다.	따르/VV + 았/EP + 다/EF + ./SF

태종이	태종/NNP + 이/JKS
가장	가장/MAG
신임했던	신임/NNG + 하/XSV + 았/EP + 던/ETM
신하라서인지,	신하/NNG + 이/VCP + 라서/EC + 이/VCP + ㄴ지/EC + ,/SP
그렇지	그렇/VA + 지/EC
않으면	않/VX + 으면/EC
하륜이	하륜/NNP + 이/JKS
여자	여자/NNG
좋아하는	좋아하/VV + 는/ETM
것을	것/NNB + 을/JKO
알고	알/VV + 고/EC
웃었는지는	웃/VV + 었/EP + 는지/EC + 는/JX
알	알/VV + ㄹ/ETM
수	수/NNB
없다.	없/VA + 다/EF + ./SF

세종	세종/NNP
때도	때/NNG + 도/JX
이	이/MM
매춘	매춘/NNG
문제가	문제/NNG + 가/JKS
심각한	심각/XR + 하/XSA + ㄴ/ETM
국사로	국사/NNG + 로/JKB
대두됐었다.	대두/NNG + 되/XSV + 었었/EP + 다/EF + ./SF

현감	현감/NNG
부인인	부인/NNG + 이/VCP + ㄴ/ETM
감동(甘同)이	감동/NNP + (/SS + 甘同/SH + )/SS + 이/JKS
왕자를	왕자/NNG + 를/JKO
비롯,	비롯/XR + ,/SP
영의정까지	영의정/NNG + 까지/JX
포함한	포함/NNG + 하/XSV + ㄴ/ETM
38명의	38/SN + 명/NNB + 의/JKG
사대부들과	사대부/NNG + 들/XSN + 과/JKB
사통하는	사통/NNG + 하/XSV + 는/ETM
문제가	문제/NNG + 가/JKS
발각되어	발각/NNG + 되/XSV + 어/EC
매춘이	매춘/NNG + 이/JKS
상류사회에까지	상류/NNG + 사회/NNG + 에/JKB + 까지/JX
침투해	침투/NNG + 하/XSV + 아/EC
들었기	들/VX + 었/EP + 기/ETN
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

이에	이/NP + 에/JKB
조정에서	조정/NNG + 에서/JKB
창기를	창기/NNG + 를/JKO
없애는	없애/VV + 는/ETM
문제를	문제/NNG + 를/JKO
두고	두/VV + 고/EC
의논하고	의논/NNG + 하/XSV + 고/EC
없애는	없애/VV + 는/ETM
데	데/NNB
의견의	의견/NNG + 의/JKG
일치를	일치/NNG + 를/JKO
보았다.	보/VV + 았/EP + 다/EF + ./SF

깐깐하기로	깐깐/XR + 하/XSA + 기/ETN + 로/JKB
소문난	소문나/VV + ㄴ/ETM
허조(許稠)대감이	허조/NNP + (/SS + 許稠/SH + )/SS + 대감/NNG + 이/JKS
의견을	의견/NNG + 을/JKO
말할	말/NNG + 하/XSV + ㄹ/ETM
차례인데	차례/NNG + 이/VCP + ㄴ데/EC
어느	어느/MM
누구보다	누구/NP + 보다/JKB
맹렬하게	맹렬/XR + 하/XSA + 게/EC
창기	창기/NNG
철폐를	철폐/NNG + 를/JKO
주장할	주장/NNG + 하/XSV + ㄹ/ETM
것이라는	것/NNB + 이/VCP + 라는/ETM
기대는	기대/NNG + 는/JX
배신	배신/NNG
받고	받/VV + 고/EC
말았다.	말/VX + 았/EP + 다/EF + ./SF

'남녀	'/SS + 남녀/NNG
관계는	관계/NNG + 는/JX
사람의	사람/NNG + 의/JKG
본능으로	본능/NNG + 으로/JKB
금할	금하/VV + ㄹ/ETM
수	수/NNB
없는	없/VA + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

만약	만약/NNG
이	이/MM
금법(禁法)을	금법/NNG + (/SS + 禁法/SH + )/SS + 을/JKO
엄하게	엄하/VA + 게/EC
하면	하/VV + 면/EC
숨어서	숨/VV + 어서/EC
사가(私家)를	사가/NNG + (/SS + 私家/SH + )/SS + 를/JKO
침범하게	침범/NNG + 하/XSV + 게/EC
될	되/VV + ㄹ/ETM
것은	것/NNB + 은/JX
자명한	자명/XR + 하/XSA + ㄴ/ETM
일이다.	일/NNG + 이/VCP + 다/EF + ./SF

그	그/MM
누를	누/NNG + 를/JKO
생각하여	생각/NNG + 하/XSV + 아/EC
없애지	없애/VV + 지/EC
않는	않/VX + 는/ETM
것이	것/NNB + 이/JKS
마땅한	마땅/XR + 하/XSA + ㄴ/ETM
줄	줄/NNB
안다'고	알/VV + ㄴ다/EC + '/SS + 고/JKQ
혼자서	혼자/NNG + 서/JKS
반대를	반대/NNG + 를/JKO
했고	하/VV + 았/EP + 고/EC
임금도	임금/NNG + 도/JX
이를	이/NP + 를/JKO
좇았다.	좇/VV + 았/EP + 다/EF + ./SF

풍선효과는	풍선/NNG + 효과/NNG + 는/JX
이미	이미/MAG
세종대왕	세종대왕/NNP
때부터	때/NNG + 부터/JX
문제됐음을	문제/NNG + 되/XSV + 었/EP + 음/ETN + 을/JKO
알	알/VV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

부산	부산/NNP
치외법권지역인	치외법권/NNG + 지역/NNG + 이/VCP + ㄴ/ETM
왜관(倭館)에	왜관/NNG + (/SS + 倭館/SH + )/SS + 에/JKB
몸을	몸/NNG + 을/JKO
팔면	팔/VV + 면/EC
그	그/MM
뚜쟁이와	뚜쟁이/NNG + 와/JC
매춘녀를	매춘녀/NNG + 를/JKO
잡아	잡/VV + 아/EC
성안에	성안/NNG + 에/JKB
끌고	끌/VV + 고/EC
다니며	다니/VV + 며/EC
매질하고	매/NNG + 질/XSN + 하/XSV + 고/EC
목을	목/NNG + 을/JKO
베어	베/VV + 어/EC
긴	길/VA + ㄴ/ETM
장대에	장대/NNG + 에/JKB
꽂아	꽂/VV + 아/EC
왜관	왜관/NNG
담	담/NNG
밖에	밖/NNG + 에/JKB
효수(梟首)를	효수/NNG + (/SS + 梟首/SH + )/SS + 를/JKO
했는데도	하/VV + 았/EP + 는데/EC + 도/JX
통간이	통간/NNG + 이/JKS
멎지	멎/VV + 지/EC
않았음은	않/VX + 았/EP + 음/ETN + 은/JX
혹형도	혹형/NNG + 도/JX
그것	그것/NP
앞에서	앞/NNG + 에서/JKB
맥을	맥/NNG + 을/JKO
못추었다는	못/MAG + 추/VV + 었/EP + 다는/ETM
역사적	역사/NNG + 적/XSN
증명이랄	증명/NNG + 이/VCP + 랄/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

이	이/MM
풍선효과	풍선/NNG + 효과/NNG
때문인지	때문/NNB + 이/VCP + ㄴ지/EC
단속보다	단속/NNG + 보다/JKB
직업의	직업/NNG + 의/JKG
일종으로	일종/NNG + 으로/JKB
합법화하여	합법/NNG + 화/XSN + 하/XSV + 아/EC
매춘	매춘/NNG
노조가	노조/NNG + 가/JKS
결성되어	결성/NNG + 되/XSV + 어/EC
전국대회를	전국/NNG + 대회/NNG + 를/JKO
열고	열/VV + 고/EC
쟁의를	쟁의/NNG + 를/JKO
일으키고	일으키/VV + 고/EC
있음이	있/VX + 음/ETN + 이/JKS
세계적	세계/NNG + 적/XSN
추세이고	추세/NNG + 이/VCP + 고/EC
보면	보/VV + 면/EC
풍선무상이다.	풍선/NNG + 무상/NNG + 이/VCP + 다/EF + ./SF

▶"우리는	▶/SW + "/SS + 우리/NP + 는/JX
거지가	거지/NNG + 가/JKC
아니다."-카다피	아니/VCN + 다/EF + ./SF + "/SS + -/SS + 카다피/NNP

리비아	리비아/NNP
국가평의회	국가/NNG + 평의회/NNG
의장,	의장/NNG + ,/SP
아프리카	아프리카/NNP
연합(AU)	연합/NNG + (/SS + AU/SL + )/SS
주창자로	주창자/NNG + 로/JKB
9일	9/SN + 일/NNB
"우리를	"/SS + 우리/NP + 를/JKO
돕기를	돕/VV + 기/ETN + 를/JKO
원하는	원하/VV + 는/ETM
사람은	사람/NNG + 은/JX
모두	모두/MAG
환영하지만,	환영/NNG + 하/XSV + 지만/EC + ,/SP
조건을	조건/NNG + 을/JKO
부과하는	부과/NNG + 하/XSV + 는/ETM
사람들이	사람/NNG + 들/XSN + 이/JKS
있다면	있/VV + 다면/EC
우리는	우리/NP + 는/JX
그것을	그것/NP + 을/JKO
바라지	바라/VV + 지/EC
않을	않/VX + 을/ETM
것"이라고	것/NNB + "/SS + 이라고/JKQ
아프리카의	아프리카/NNP + 의/JKG
자존심을	자존심/NNG + 을/JKO
강조하며.	강조/NNG + 하/XSV + 며/EF + ./SF

▶"서해도발도	▶/SW + "/SS + 서해/NNP + 도발/NNG + 도/JX
축소·은폐,	축소/NNG + ·/SP + 은폐/NNG + ,/SP
각종	각종/NNG
권력형	권력/NNG + 형/XSN
비리도	비리/NNG + 도/JX
축소·은폐,	축소/NNG + ·/SP + 은폐/NNG + ,/SP
이	이/MM
정권은	정권/NNG + 은/JX
축소·은폐	축소/NNG + ·/SP + 은폐/NNG
전문정권이다."-한나라당	전문/NNG + 정권/NNG + 이/VCP + 다/EF + ./SF + "/SS + -/SS + 한나라당/NNP

남경필	남경필/NNP
대변인,	대변인/NNG + ,/SP
현	현/MM
정부는	정부/NNG + 는/JX
각종	각종/NNG
의혹들을	의혹/NNG + 들/XSN + 을/JKO
밝히기보다는	밝히/VV + 기/ETN + 보다/JKB + 는/JX
줄이고	줄이/VV + 고/EC
감추는	감추/VV + 는/ETM
데만	데/NNB + 만/JX
신경쓰고	신경/NNG + 쓰/VV + 고/EC
