엊그제	엊그제/NNG
진료에	진료/NNG + 에/JKB
한동안	한동안/NNG
애를	애/NNG + 를/JKO
먹었다	먹/VV + 었/EP + 다/EC
한다.	하/VV + ㄴ다/EF + ./SF

우물	우물/NNG
대신	대신/NNG
수돗물을	수돗물/NNG + 을/JKO
사람들이	사람/NNG + 들/XSN + 이/JKS
먹기	먹/VV + 기/ETN
시작하자	시작/NNG + 하/XSV + 자/EC
아메바성	아메바/NNG + 성/XSN
이질은	이질/NNG + 은/JX
거의	거의/MAG
없어졌다고	없/VA + 어/EC + 지/VX + 었/EP + 다고/EC
배웠기	배우/VV + 었/EP + 기/ETN
때문에	때문/NNB + 에/JKB
그	그/MM
원인으로	원인/NNG + 으로/JKB
배탈이	배탈/NNG + 이/JKS
난	나/VV + ㄴ/ETM
줄은	줄/NNB + 은/JX
전혀	전혀/MAG
생각지도	생각/NNG + 하/XSV + 지/EC + 도/JX
않았다.	않/VX + 았/EP + 다/EF + ./SF

넉넉한	넉넉/XR + 하/XSA + ㄴ/ETM
사람에게	사람/NNG + 에게/JKB
흔한	흔하/VA + ㄴ/ETM
스트레스성	스트레스/NNG + 성/XSN
대장염인	대장염/NNG + 이/VCP + ㄴ/ETM
줄만	줄/NNB + 만/JX
알고	알/VV + 고/EC
치료했는데도	치료/NNG + 하/XSV + 았/EP + 는데/EC + 도/JX
효과가	효과/NNG + 가/JKS
없었다.	없/VA + 었/EP + 다/EF + ./SF

시행	시행/NNG
착오	착오/NNG
끝에	끝/NNG + 에/JKB
알아	알/VV + 아/EC
보니	보/VX + 니/EC
뜻밖에도	뜻밖에/MAG + 도/JX
가난의	가난/NNG + 의/JKG
병인	병/NNG + 이/VCP + ㄴ/ETM
그	그/MM
아메바성이	아메바/NNG + 성/XSN + 이/JKS
원인이었고,	원인/NNG + 이/VCP + 었/EP + 고/EC + ,/SP
환자들은	환자/NNG + 들/XSN + 은/JX
모두	모두/MAG
약수	약수/NNG
상용자들이었다.	상용자/NNG + 들/XSN + 이/VCP + 었/EP + 다/EF + ./SF

약수도	약수/NNG + 도/JX
믿지	믿/VV + 지/EC
못할	못하/VX + ㄹ/ETM
지경이니	지경/NNB + 이/VCP + 니/EC
역시	역시/MAG
나라가	나라/NNG + 가/JKS
먼저	먼저/MAG
수질에	수질/NNG + 에/JKB
책임을	책임/NNG + 을/JKO
져야	지/VV + 어야/EC
한다.	하/VX + ㄴ다/EF + ./SF

또	또/MAG
양질의	양질/NNG + 의/JKG
물을	물/NNG + 을/JKO
요구하자면	요구/NNG + 하/XSV + 자면/EC
시민도	시민/NNG + 도/JX
물을	물/NNG + 을/JKO
아껴야	아끼/VV + 어야/EC
한다.	하/VX + ㄴ다/EF + ./SF

어느	어느/MM
논객의	논객/NNG + 의/JKG
지적은	지적/NNG + 은/JX
역시	역시/MAG
선각이다.	선각/NNG + 이/VCP + 다/EF + ./SF

"물을	"/SS + 물/NNG + 을/JKO
돈	돈/NNG
쓰듯	쓰/VV + 듯/EC
해야	하/VX + 아야/EC
한다"고.	하/VV + ㄴ다/EC + "/SS + 고/JKQ + ./SF

이번	이번/NNG
걸프전에서	걸프전/NNG + 에서/JKB
갖가지	갖가지/NNG
첨단	첨단/NNG
병기를	병기/NNG + 를/JKO
선보인	선보이/VV + ㄴ/ETM
미국과	미국/NNP + 과/JC
유럽	유럽/NNP
국가들의	국가/NNG + 들/XSN + 의/JKG
무기	무기/NNG
판촉	판촉/NNG
전이	전/NNG + 이/JKS
제	제/XPN
3세계를	3/SN + 세계/NNG + 를/JKO
주요	주요/NNG
상대국으로	상대국/NNG + 으로/JKB
치열하게	치열/NNG + 하/XSA + 게/EC
벌어지고	벌어지/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

걸프특수가	걸프/NNP + 특수/NNG + 가/JKS
중동	중동/NNP
지역을	지역/NNG + 을/JKO
벗어나	벗어나/VV + 아/EC
위력을	위력/NNG + 을/JKO
발휘하고	발휘/NNG + 하/XSV + 고/EC
있다고	있/VX + 다고/EC
할	하/VV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

우리	우리/NP
나라라고	나라/NNG + 이/VCP + 라고/EC
해서	하/VV + 아서/EC
예외일	예외/NNG + 이/VCP + ㄹ/ETM
리	리/NNB
없다.	없/VA + 다/EF + ./SF

최근	최근/NNG
들어	들/VV + 어/EC
국방부나	국방부/NNG + 나/JC
합참	합참/NNG
등에	등/NNB + 에/JKB
이들	이/NP + 들/XSN
나라의	나라/NNG + 의/JKG
주한	주한/NNG
외교관이나	외교관/NNG + 이나/JC
방산	방산/NNG
요원들의	요원/NNG + 들/XSN + 의/JKG
발길이	발길/NNG + 이/JKS
잦아지고	잦아지/VV + 고/EC
있는	있/VX + 는/ETM
것만	것/NNB + 만/JX
보아도	보/VV + 아도/EC
익히	익히/MAG
알	알/VV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

며칠	며칠/NNG
전	전/NNG
이임	이임/NNG
인사차	인사/NNG + 차/NNB
국방부를	국방부/NNG + 를/JKO
방문한	방문/NNG + 하/XSV + ㄴ/ETM
주한	주한/NNG
프랑스	프랑스/NNP
대사가	대사/NNG + 가/JKS
우리의	우리/NP + 의/JKG
방위	방위/NNG
산업에	산업/NNG + 에/JKB
'각별한	'/SS + 각별/NNG + 하/XSA + ㄴ/ETM
관심'을	관심/NNG + '/SS + 을/JKO
보이고	보이/VV + 고/EC
갔다는	가/VV + 았/EP + 다는/ETM
얘기도	얘기/NNG + 도/JX
들린다.	들리/VV + ㄴ다/EF + ./SF

또	또/MAG
지난	지나/VV + ㄴ/ETM
3월초	3/SN + 월/NNB + 초/NNB
서울	서울/NNP
시내	시내/NNG
모	모/MM
호텔에서는	호텔/NNG + 에서/JKB + 는/JX
국방부와	국방부/NNG + 와/JC
합참의	합참/NNG + 의/JKG
관계자들이	관계자/NNG + 들/XSN + 이/JKS
참석한	참석/NNG + 하/XSV + ㄴ/ETM
가운데	가운데/NNG
독일의	독일/NNP + 의/JKG
항공	항공/NNG
업체인	업체/NNG + 이/VCP + ㄴ/ETM
MBB사	MBB/SL + 사/NNG
측이	측/NNB + 이/JKS
'토네이도	'/SS + 토네이도/NNP
ECR전투기	ECR/SL + 전투기/NNG
설명회'를	설명회/NNG + '/SS + 를/JKO
가졌다	가지/VV + 었/EP + 다/EC
한다.	하/VV + ㄴ다/EF + ./SF

영국의	영국/NNP + 의/JKG
군사전문	군사/NNG + 전문/NNG
주간지인	주간지/NNG + 이/VCP + ㄴ/ETM
제인스	제인스/NNP
디펜스	디펜스/NNG
위클리는	위클리/NNP + 는/JX
최근호에서	최근/NNG + 호/NNB + 에서/JKB
한국	한국/NNP
해군이	해군/NNG + 이/JKS
신형	신형/NNG
잠수함과	잠수함/NNG + 과/JC
해상초계기	해상/NNG + 초계기/NNG
도입에	도입/NNG + 에/JKB
박차를	박차/NNG + 를/JKO
가하고	가하/VV + 고/EC
있다고	있/VX + 다고/EC
보도했다.	보도/NNG + 하/XSV + 았/EP + 다/EF + ./SF

걸프전에서	걸프전/NNG + 에서/JKB
용맹을	용맹/NNG + 을/JKO
떨친	떨치/VV + ㄴ/ETM
패트리어트	패트리어트/NNG
미사일에	미사일/NNG + 에/JKB
관해서도	관하/VV + 아서/EC + 도/JX
한국이	한국/NNP + 이/JKS
구매	구매/NNG
대열에	대열/NNG + 에/JKB
끼었느니	끼/VV + 었/EP + 느니/EC
아니니	아니/VCN + 니/EC
하는	하/VV + 는/ETM
소문이	소문/NNG + 이/JKS
분분하다.	분분/XR + 하/XSA + 다/EF + ./SF

일설에는	일설/NNG + 에/JKB + 는/JX
4일간의	4/SN + 일/NNB + 간/NNB + 의/JKG
지상전에서	지상전/NNG + 에서/JKB
위력을	위력/NNG + 을/JKO
과시한	과시/NNG + 하/XSV + ㄴ/ETM
미국의	미국/NNP + 의/JKG
MIAI	MIAI/SL
전차에	전차/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
도입	도입/NNG
여부를	여부/NNG + 를/JKO
검토	검토/NNG
중이라	중/NNB + 이/VCP + 라/EC
한다.	하/VV + ㄴ다/EF + ./SF

전면	전면/NNG
재검토에	재/XPN + 검토/NNG + 에/JKB
들어	들/VV + 어/EC
갔다가	가/VX + 았/EP + 다가/EC
최종	최종/NNG
확정	확정/NNG
단계에	단계/NNG + 에/JKB
있는	있/VV + 는/ETM
차세대	차세대/NNG
전투기	전투기/NNG
사업과	사업/NNG + 과/JKB
관련해서도	관련/NNG + 하/XSV + 아서/EC + 도/JX
경합	경합/NNG
중인	중/NNB + 이/VCP + ㄴ/ETM
맥도널	맥도널/NNP
더글러스	더글러스/NNP
사와	사/NNG + 와/JC
제너럴	제너럴/NNP
다이내믹스	다이내믹스/NNP
사가	사/NNG + 가/JKS
자사	자사/NNG
제품인	제품/NNG + 이/VCP + ㄴ/ETM
F18과	F/SL + 18/SN + 과/JC
F16의	F/SL + 16/SN + 의/JKG
걸프전	걸프전/NNG
활약상을	활약/NNG + 상/NNG + 을/JKO
놓고	놓/VV + 고/EC
벌이는	벌이/VV + 는/ETM
막바지	막바지/NNG
홍보전도	홍보전/NNG + 도/JX
만만치	만만/XR + 하/XSA + 지/EC
않게	않/VX + 게/EC
진행되고	진행/NNG + 되/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

바야흐로	바야흐로/MAG
이	이/MM
땅에서	땅/NNG + 에서/JKB
전승국들의	전승국/NNG + 들/XSN + 의/JKG
무기	무기/NNG
판매	판매/NNG
전쟁이	전쟁/NNG + 이/JKS
수면	수면/NNG
아래서	아래/NNG + 서/JKB
소리	소리/NNG
없이	없이/MAG
전개되고	전개/NNG + 되/XSV + 고/EC
있는	있/VX + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

하이테크	하이테크/NNG
전쟁으로	전쟁/NNG + 으로/JKB
불리는	불리/VV + 는/ETM
걸프전은	걸프전/NNG + 은/JX
물론	물론/MAG
현대전에서의	현대전/NNG + 에서/JKB + 의/JKG
첨단전자	첨단/NNG + 전자/NNG
장비와	장비/NNG + 와/JC
최신	최신/NNG
병기의	병기/NNG + 의/JKG
중요성을	중요/NNG + 성/XSN + 을/JKO
새삼	새삼/MAG
일깨워졌다.	일깨우/VV + 어/EC + 지/VX + 었/EP + 다/EF + ./SF

따라서	따라서/MAJ
실전	실전/NNG
무대에서	무대/NNG + 에서/JKB
성능을	성능/NNG + 을/JKO
십분	십분/MAG
과시한	과시/NNG + 하/XSV + ㄴ/ETM
이들	이/NP + 들/XSN
무기	무기/NNG
체계의	체계/NNG + 의/JKG
확보는	확보/NNG + 는/JX
결코	결코/MAG
간과할	간과/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
없고	없/VA + 고/EC
군의	군/NNG + 의/JKG
전력	전력/NNG
증강	증강/NNG
사업과도	사업/NNG + 과/JKB + 도/JX
따로	따로/MAG
떼어	떼/VV + 어/EC
놓을	놓/VX + 을/ETM
수	수/NNB
없다.	없/VA + 다/EF + ./SF

그러나	그러나/MAJ
이번	이번/NNG
걸프전은	걸프전/NNG + 은/JX
막대한	막대/XR + 하/XSA + ㄴ/ETM
유류판매대금	유류/NNG + 판매/NNG + 대금/NNG
등	등/NNB
국가	국가/NNG
재정을	재정/NNG + 을/JKO
탕진해	탕진/NNG + 하/XSV + 아/EC
가며	가/VX + 며/EC
외국	외국/NNG
무기를	무기/NNG + 를/JKO
마구잡이로	마구잡이/NNG + 로/JKB
사들이는	사들이/VV + 는/ETM
등	등/NNB
군비	군비/NNG
확장으로	확장/NNG + 으로/JKB
치달은	치닫/VV + 은/ETM
사담	사담/NNP
후세인과	후세인/NNP + 과/JC
이라크가	이라크/NNP + 가/JKS
어떤	어떤/MM
결말을	결말/NNG + 을/JKO
보았는지도	보/VV + 았/EP + 는지/EC + 도/JX
교훈적으로	교훈/NNG + 적/XSN + 으로/JKB
실증해	실증/NNG + 하/XSV + 아/EC
주고	주/VX + 고/EC
있다.	있/VX + 다/EF + ./SF

우리의	우리/NP + 의/JKG
국방	국방/NNG
당국자들이	당국자/NNG + 들/XSN + 이/JKS
첨단	첨단/NNG
병기	병기/NNG
사재기를	사재기/NNG + 를/JKO
전력	전력/NNG
증강	증강/NNG
내지	내지/MAG
국가	국가/NNG
안보와	안보/NNG + 와/JKB
등식화하는	등식/NNG + 화/XSN + 하/XSV + 는/ETM
우를	우/NNG + 를/JKO
범해서는	범하/VV + 아서/EC + 는/JX
안될	안/MAG + 되/XSV + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

85년에	85/SN + 년/NNB + 에/JKB
경기도	경기도/NNP
광주군	광주군/NNP
광주국민학교	광주국민학교/NNP
교장을	교장/NNG + 을/JKO
끝으로	끝/NNG + 으로/JKB
교단을	교단/NNG + 을/JKO
떠났던	떠나/VV + 았/EP + 던/ETM
안성원	안성원/NNP
씨	씨/NNB
(72·서울	(/SS + 72/SN + ·/SP + 서울/NNP
강동구	강동구/NNP
천호동	천호동/NNP
163)는	163/SN + )/SS + 는/JX
매주	매주/MAG
토요일	토요일/NNG
오후가	오후/NNG + 가/JKC
되면	되/VV + 면/EC
차를	차/NNG + 를/JKO
두번	두/MM + 번/NNB
갈아타고	갈아타/VV + 고/EC
서울	서울/NNP
성동구	성동구/NNP
금호	금호/NNP
3가동에	3/SN + 가/NNG + 동/NNB + 에/JKB
있는	있/VV + 는/ETM
성동	성동/NNP
청소년	청소년/NNG
회관으로	회관/NNG + 으로/JKB
향한다.	향하/VV + ㄴ다/EF + ./SF

안씨는	안/NNP + 씨/NNB + 는/JX
청소년	청소년/NNG
회관	회관/NNG
2층	2/SN + 층/NNG
열람실에서	열람실/NNG + 에서/JKB
오후	오후/NNG
3시부터	3/SN + 시/NNB + 부터/JX
시작되는	시작/NNG + 되/XSV + 는/ETM
'토요한문서당'의	'/SS + 토요/NNG + 한문/NNG + 서당/NNG + '/SS + 의/JKG
강사를	강사/NNG + 를/JKO
맡아	맡/VV + 아/EC
국민	국민/NNG
학교	학교/NNG
4~6학년	4/SN + ~/SO + 6/SN + 학년/NNG
어린이	어린이/NNG
50여	50/SN + 여/XSN
명에게	명/NNB + 에게/JKB
한문을	한문/NNG + 을/JKO
가르치고	가르치/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

2시간	2/SN + 시간/NNG
동안	동안/NNG
계속되는	계속/NNG + 되/XSV + 는/ETM
한문서당	한문/NNG + 서당/NNG
수업을	수업/NNG + 을/JKO
통해	통하/VV + 아/EC
안씨가	안/NNP + 씨/NNB + 가/JKS
가르치고자	가르치/VV + 고자/EC
하는	하/VX + 는/ETM
것은	것/NNB + 은/JX
한문	한문/NNG
자체보다는	자체/NNG + 보다/JKB + 는/JX
그	그/MM
안에	안/NNG + 에/JKB
담겨	담기/VV + 어/EC
있는	있/VX + 는/ETM
선현들의	선현/NNG + 들/XSN + 의/JKG
정신이다.	정신/NNG + 이/VCP + 다/EF + ./SF

안씨는	안/NNP + 씨/NNB + 는/JX
'소학'	'/SS + 소학/NNP + '/SS
'명심보감'	'/SS + 명심보감/NNP + '/SS
등	등/NNB
옛	옛/MM
서적	서적/NNG
중	중/NNB
가정	가정/NNG
예절과	예절/NNG + 과/JC
생활규범	생활/NNG + 규범/NNG
등을	등/NNB + 을/JKO
다룬	다루/VV + ㄴ/ETM
부분들을	부분/NNG + 들/XSN + 을/JKO
뽑아	뽑/VV + 아/EC
어린	어리/VA + ㄴ/ETM
학생들이	학생/NNG + 들/XSN + 이/JKS
되새겨	되새기/VV + 어/EC
배우고	배우/VV + 고/EC
실천해야	실천/NNG + 하/XSV + 아야/EC
할	하/VX + ㄹ/ETM
내용들을	내용/NNG + 들/XSN + 을/JKO
깨우쳐	깨우치/VV + 어/EC
주고	주/VX + 고/EC
있다.	있/VX + 다/EF + ./SF

45년	45/SN + 년/NNB
간의	간/NNB + 의/JKG
교직	교직/NNG
생활에서	생활/NNG + 에서/JKB
물러난	물러나/VV + ㄴ/ETM
뒤	뒤/NNG
허전함을	허전/XR + 하/XSA + ㅁ/ETN + 을/JKO
달래고	달래/VV + 고/EC
있던	있/VX + 던/ETM
안씨가	안/NNP + 씨/NNB + 가/JKS
손자-손녀	손자/NNG + -/SS + 손녀/NNG
같은	같/VA + 은/ETM
어린이들의	어린이/NNG + 들/XSN + 의/JKG
한문	한문/NNG
훈장으로	훈장/NNG + 으로/JKB
변신한	변신/NNG + 하/XSV + ㄴ/ETM
것은	것/NNB + 은/JX
작년	작년/NNG
여름부터였다.	여름/NNG + 부터/JX + 이/VCP + 었/EP + 다/EF + ./SF

여름	여름/NNG
방학을	방학/NNG + 을/JKO
맞아	맞/VV + 아/EC
성동	성동/NNP
청소년	청소년/NNG
회관이	회관/NNG + 이/JKS
구청의	구청/NNG + 의/JKG
지원을	지원/NNG + 을/JKO
받아	받/VV + 아/EC
마련한	마련/NNG + 하/XSV + ㄴ/ETM
한문	한문/NNG
특강의	특강/NNG + 의/JKG
강사로	강사/NNG + 로/JKB
초빙돼	초빙/NNG + 되/XSV + 어/EC
작년	작년/NNG
여름과	여름/NNG + 과/JC
겨울	겨울/NNG
방학에	방학/NNG + 에/JKB
이어	이어/MAG
세	세/MM
번째	번/NNB + 째/XSN
강단에	강단/NNG + 에/JKB
섰다.	서/VV + 었/EP + 다/EF + ./SF

작년	작년/NNG
여름과	여름/NNG + 과/JC
겨울의	겨울/NNG + 의/JKG
특강으로	특강/NNG + 으로/JKB
이미	이미/MAG
60여	60/SN + 여/XSN
명의	명/NNB + 의/JKG
제자를	제자/NNG + 를/JKO
배출한	배출/NNG + 하/XSV + ㄴ/ETM
안씨는	안/NNP + 씨/NNB + 는/JX
이번	이번/NNG
학기	학기/NNG
강의에서	강의/NNG + 에서/JKB
강의가	강의/NNG + 가/JKS
거듭될	거듭/MAG + 되/XSV + ㄹ/ETM
때마다	때/NNG + 마다/JX
수강생이	수강/NNG + 생/XSN + 이/JKS
늘어나	늘어나/VV + 아/EC
때로는	때로/MAG + 는/JX
부담스런	부담/NNG + 스럽/XSA + ㄴ/ETM
느낌도	느낌/NNG + 도/JX
있지만,	있/VV + 지만/EC + ,/SP
어린	어리/VA + ㄴ/ETM
학생들의	학생/NNG + 들/XSN + 의/JKG
반짝이는	반짝이/VV + 는/ETM
눈을	눈/NNG + 을/JKO
보면서	보/VV + 면서/EC
더	더/MAG
큰	크/VA + ㄴ/ETM
힘을	힘/NNG + 을/JKO
얻는다.	얻/VV + 는다/EF + ./SF

"중도에	"/SS + 중도/NNG + 에/JKB
탈락하는	탈락/NNG + 하/XSV + 는/ETM
아이들을	아이/NNG + 들/XSN + 을/JKO
볼	보/VV + ㄹ/ETM
때마다	때/NNG + 마다/JX
요즘	요즘/NNG
어린이들이	어린이/NNG + 들/XSN + 이/JKS
너무	너무/MAG
인내심이	인내심/NNG + 이/JKS
약한	약하/VA + ㄴ/ETM
것이	것/NNB + 이/JKC
아닌가	아니/VCN + ㄴ가/EC
걱정이	걱정/NNG + 이/JKC
되기도	되/VV + 기/ETN + 도/JX
합니다."	하/VX + ㅂ니다/EF + ./SF + "/SS

안씨는	안/NNP + 씨/NNB + 는/JX
자칫	자칫/MAG
자기	자기/NP
중심으로	중심/NNG + 으로/JKB
빠지기	빠지/VV + 기/ETN
쉬운	쉽/VA + ㄴ/ETM
요즘의	요즘/NNG + 의/JKG
어린이들에게	어린이/NNG + 들/XSN + 에게/JKB
사회와	사회/NNG + 와/JC
가정에서	가정/NNG + 에서/JKB
해야	하/VV + 아야/EC
할	하/VX + ㄹ/ETM
일을	일/NNG + 을/JKO
일깨우는	일깨우/VV + 는/ETM
것도	것/NNB + 도/JX
큰	크/VA + ㄴ/ETM
보람이지만,	보람/NNG + 이/VCP + 지만/EC + ,/SP
5년	5/SN + 년/NNB
만에	만/NNB + 에/JKB
다시	다시/MAG
교단에	교단/NNG + 에/JKB
서는	서/VV + 는/ETM
기쁨	기쁨/NNG
또한	또한/MAG
비길	비기/VV + ㄹ/ETM
데가	데/NNB + 가/JKS
없다고	없/VA + 다고/EC
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

사람은	사람/NNG + 은/JX
떳떳할	떳떳/XR + 하/XSA + ㄹ/ETM
때	때/NNG
의연할	의연/XR + 하/XSA + ㄹ/ETM
수가	수/NNB + 가/JKS
있다.	있/VV + 다/EF + ./SF

자기	자기/NP
양심에	양심/NNG + 에/JKB
비추어	비추/VV + 어/EC
한	한/MM
점의	점/NNG + 의/JKG
부끄러움도	부끄러움/NNG + 도/JX
없을	없/VA + 을/ETM
때에는	때/NNG + 에/JKB + 는/JX
얼마든지	얼마/NNG + 이/VCP + 든지/EC
당당할	당당/MAG + 하/XSA + ㄹ/ETM
수가	수/NNB + 가/JKS
있다.	있/VV + 다/EF + ./SF

그러나	그러나/MAJ
양심이	양심/NNG + 이/JKS
마비되어	마비/NNG + 되/XSV + 어/EC
자기가	자기/NP + 가/JKS
무슨	무슨/MM
잘못을	잘못/NNG + 을/JKO
저질렀는지를	저지르/VV + 었/EP + 는지/EC + 를/JKO
모를	모르/VV + ㄹ/ETM
때에도	때/NNG + 에/JKB + 도/JX
당당할	당당/MAG + 하/XSA + ㄹ/ETM
수가	수/NNB + 가/JKS
있다.	있/VV + 다/EF + ./SF

뻔뻔스러워서만	뻔뻔/XR + 스럽/XSA + 어서/EC + 만/JX
그러는	그러/VV + 는/ETM
것은	것/NNB + 은/JX
아니다.	아니/VCN + 다/EF + ./SF

▶엊그제	▶/SW + 엊그제/NNG
법정에	법정/NNG + 에/JKB
선	서/VV + ㄴ/ETM
'뇌물외유'의	'/SS + 뇌물/NNG + 외유/NNG + '/SS + 의/JKG
국회	국회/NNG
의원들은	의원/NNG + 들/XSN + 은/JX
여간	여간/MAG
당당하지가	당당/MAG + 하/XSA + 지/EC + 가/JKS
않았다.	않/VX + 았/EP + 다/EF + ./SF

상공	상공/NNG
위원의	위원/NNG + 의/JKG
직무는	직무/NNG + 는/JX
뭣이냐는	뭣/NP + 이/VCP + 냐는/ETM
검사	검사/NNG
질문에도	질문/NNG + 에/JKB + 도/JX
"몰라서	"/SS + 모르/VV + 아서/EC
묻느냐"고	묻/VV + 느냐/EC + "/SS + 고/JKQ
내뱉었다.	내뱉/VV + 었/EP + 다/EF + ./SF

여행이	여행/NNG + 이/JKS
자동차	자동차/NNG
공업	공업/NNG
협회의	협회/NNG + 의/JKG
이익을	이익/NNG + 을/JKO
도모하기	도모/NNG + 하/XSV + 기/ETN
위한	위하/VV + ㄴ/ETM
것이	것/NNB + 이/JKC
아니었느냐고	아니/VCN + 었/EP + 느냐고/EC
검사가	검사/NNG + 가/JKS
묻자,	묻/VV + 자/EC + ,/SP
"협회	"/SS + 협회/NNG
이익이	이익/NNG + 이/JKS
나라	나라/NNG
이익이	이익/NNG + 이/JKC
될	되/VV + ㄹ/ETM
수도	수/NNB + 도/JX
있다"고	있/VV + 다/EC + "/SS + 고/JKQ
가슴을	가슴/NNG + 을/JKO
펴고	펴/VV + 고/EC
대답했다.	대답/NNG + 하/XSV + 았/EP + 다/EF + ./SF

그는	그/NP + 는/JX
그게	그것/NP + 이/JKS
얼마나	얼마나/MAG
궁색한	궁색/NNG + 하/XSA + ㄴ/ETM
변명인지를	변명/NNG + 이/VCP + ㄴ지/EC + 를/JKO
모르는	모르/VV + 는/ETM
모양이었다.	모양/NNG + 이/VCP + 었/EP + 다/EF + ./SF

▶그들은	▶/SW + 그/NP + 들/XSN + 은/JX
시종	시종/NNG
국회	국회/NNG
의원의	의원/NNG + 의/JKG
권위(?)를	권위/NNG + (/SS + ?/SP + )/SS + 를/JKO
내세웠다.	내세우/VV + 었/EP + 다/EF + ./SF

열흘간의	열흘/NNG + 간/NNB + 의/JKG
여행에	여행/NNG + 에/JKB
1만	1/SN + 만/NR
6천	6/SN + 천/NR
달러가	달러/NNB + 가/JKS
과하지	과하/VA + 지/EC
않느냐니까,	않/VX + 느냐니까/EC + ,/SP
"당신네	"/SS + 당신/NP + 네/XSN
장관은	장관/NNG + 은/JX
얼마를	얼마/NNG + 를/JKO
쓰는지	쓰/VV + 는지/EC
물어	묻/VV + 어/EC
보라"고	보/VX + 라/EC + "/SS + 고/JKQ
되받아쳤다.	되받아치/VV + 었/EP + 다/EF + ./SF

그들을	그/NP + 들/XSN + 을/JKO
떳떳하게	떳떳/XR + 하/XSA + 게/EC
만든	만들/VV + ㄴ/ETM
것은	것/NNB + 은/JX
자기네는	자기/NP + 네/XSN + 는/JX
그저	그저/MAG
국회	국회/NNG
의원의	의원/NNG + 의/JKG
'관행'을	'/SS + 관행/NNG + '/SS + 을/JKO
따랐을	따르/VV + 았/EP + 을/ETM
뿐이라는	뿐/NNB + 이/VCP + 라는/ETM
생각이었다.	생각/NNG + 이/VCP + 었/EP + 다/EF + ./SF

그러니까	그러니까/MAJ
자기네는	자기/NP + 네/XSN + 는/JX
'모종의	'/SS + 모종/NNG + 의/JKG
정치적	정치/NNG + 적/XSN
음모'의	음모/NNG + '/SS + 의/JKG
억울한	억울/XR + 하/XSA + ㄴ/ETM
희생	희생/NNG
양일뿐이라는	양/NNG + 이/VCP + ㄹ/ETM + 뿐/JX + 이/VCP + 라는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

▶그들은	▶/SW + 그/NP + 들/XSN + 은/JX
분하기도	분하/VA + 기/ETN + 도/JX
할	하/VV + ㄹ/ETM
게다.	것/NNB + 이/VCP + 다/EF + ./SF

"이	"/SS + 이/MM
세상에서는	세상/NNG + 에서/JKB + 는/JX
힘	힘/NNG
있는	있/VV + 는/ETM
사람은	사람/NNG + 은/JX
자기네가	자기/NP + 네/XSN + 가/JKS
할	하/VV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
일을	일/NNG + 을/JKO
한다.	하/VV + ㄴ다/EF + ./SF

힘	힘/NNG
없는	없/VA + 는/ETM
사람은	사람/NNG + 은/JX
자기네가	자기/NP + 네/XSN + 가/JKS
해야	하/VV + 아야/EC
할	하/VX + ㄹ/ETM
일을	일/NNG + 을/JKO
한다."	하/VV + ㄴ다/EF + ./SF + "/SS

투키디데스의	투키디데스/NNP + 의/JKG
말이다.	말/NNG + 이/VCP + 다/EF + ./SF

그런	그런/MM
힘	힘/NNG
있는	있/VV + 는/ETM
사람이	사람/NNG + 이/JKS
국회	국회/NNG
의원이다.	의원/NNG + 이/VCP + 다/EF + ./SF

이런	이런/MM
특권	특권/NNG
의식에	의식/NNG + 에/JKB
그들은	그/NP + 들/XSN + 은/JX
단단히	단단히/MAG
사로잡혀	사로잡히/VV + 어/EC
있었다.	있/VX + 었/EP + 다/EF + ./SF

그들	그/NP + 들/XSN
생각에는	생각/NNG + 에/JKB + 는/JX
국회	국회/NNG
의원은	의원/NNG + 은/JX
'일반적	'/SS + 일반/NNG + 적/XSN
사회	사회/NNG
통념과	통념/NNG + 과/JC
상식'을	상식/NNG + '/SS + 을/JKO
초월한다.	초월/NNG + 하/XSV + ㄴ다/EF + ./SF
