지나간	지나가/VV + ㄴ/ETM
그러므로	그러므로/MAJ
법정	법정/NNG
소란	소란/NNG
행위는	행위/NNG + 는/JX
민주	민주/NNP
사회의	사회/NNG + 의/JKG
근간을	근간/NNG + 을/JKO
흔드는	흔들/VV + 는/ETM
공적으로	공적/NNG + 으로/JKB
타기돼	타기/NNG + 되/XSV + 어/EC
마땅한	마땅/XR + 하/XSA + ㄴ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

민주	민주/NNG
사회가	사회/NNG + 가/JKS
법치를	법치/NNG + 를/JKO
근간으로	근간/NNG + 으로/JKB
하고	하/VV + 고/EC
있고,	있/VX + 고/EC + ,/SP
민주	민주/NNG
시민의	시민/NNG + 의/JKG
첫째	첫째/NR
요건이	요건/NNG + 이/JKS
준법	준법/NNG
정신임을	정신/NNG + 이/VCP + ㅁ/ETN + 을/JKO
상기해	상기/NNG + 하/XSV + 아/EC
보면	보/VX + 면/EC
이는	이/NP + 는/JX
자명해지는	자명/XR + 하/XSA + 아/EC + 지/VX + 는/ETM
일이다.	일/NNG + 이/VCP + 다/EF + ./SF

과거	과거/NNG
권위주의	권위주의/NNG
정권	정권/NNG
아래에서는	아래/NNG + 에서/JKB + 는/JX
일반	일반/NNG
대중에게	대중/NNG + 에게/JKB
'법대로…'를	'/SS + 법/NNG + 대로/JX + …/SE + '/SS + 를/JKO
강조하면서	강조/NNG + 하/XSV + 면서/EC
위정자는	위정자/NNG + 는/JX
불법-탈법	불법/NNG + -/SS + 탈법/NNG
행위를	행위/NNG + 를/JKO
자행한	자행/NNG + 하/XSV + ㄴ/ETM
적도	적/NNB + 도/JX
있고,	있/VV + 고/EC + ,/SP
반대로	반대/NNG + 로/JKB
좋은	좋/VA + 은/ETM
법도	법/NNG + 도/JX
불리하다	불리/NNG + 하/XSA + 다/EC
싶으면	싶/VX + 으면/EC
묵살하는	묵살/NNG + 하/XSV + 는/ETM
사례도	사례/NNG + 도/JX
있어	있/VV + 어/EC
법	법/NNG
경시	경시/NNG
풍조가	풍조/NNG + 가/JKS
크게	크/VA + 게/EC
번지기도	번지/VV + 기/ETN + 도/JX
했었다.	하/VX + 았었/EP + 다/EF + ./SF

그러나	그러나/MAJ
이젠	이제/NNG + ㄴ/JX
그때가	그/MM + 때/NNG + 가/JKC
아니다.	아니/VCN + 다/EF + ./SF

비록	비록/MAG
만족스럽지는	만족/NNG + 스럽/XSA + 지/EC + 는/JX
못하더라도	못하/VX + 더라도/EC
국민의	국민/NNG + 의/JKG
투표로써	투표/NNG + 로써/JKB
정권을	정권/NNG + 을/JKO
뽑아	뽑/VV + 아/EC
점진적으로	점진/NNG + 적/XSN + 으로/JKB
민주화를	민주/NNG + 화/XSN + 를/JKO
추진하고	추진/NNG + 하/XSV + 고/EC
있는	있/VX + 는/ETM
중이며	중/NNB + 이/VCP + 며/EC
사법부	사법부/NNG
역시	역시/MAG
마찬가지이다.	마찬가지/NNG + 이/VCP + 다/EF + ./SF

현대중공업	현대중공업/NNP
사태도	사태/NNG + 도/JX
노조측이	노조/NNG + 측/NNB + 이/JKS
법	법/NNG
테두리	테두리/NNG
안에서	안/NNG + 에서/JKB
합리적인	합리/NNG + 적/XSN + 이/VCP + ㄴ/ETM
절차와	절차/NNG + 와/JC
방법에	방법/NNG + 에/JKB
의해	의하/VV + 아/EC
문제를	문제/NNG + 를/JKO
해결하려는	해결/NNG + 하/XSV + 려는/ETM
노력을	노력/NNG + 을/JKO
보였으면	보이/VV + 었/EP + 으면/EC
한다.	하/VX + ㄴ다/EF + ./SF

보도에	보도/NNG + 에/JKB
따르면	따르/VV + 면/EC
회사측의	회사/NNG + 측/NNB + 의/JKG
고발에	고발/NNG + 에/JKB
따라	따르/VV + 아/EC
태업	태업/NNG
등을	등/NNB + 을/JKO
주도한	주도/NNG + 하/XSV + ㄴ/ETM
노조	노조/NNG
부위원장이	부위원장/NNG + 이/JKS
최근	최근/NNG
구속된	구속/NNG + 되/XSV + ㄴ/ETM
데	데/NNB
자극을	자극/NNG + 을/JKO
받아	받/VV + 아/EC
노조측이	노조/NNG + 측/NNB + 이/JKS
이틀간의	이틀간/NNG + 의/JKG
태업에	태업/NNG + 에/JKB
이어	이어/MAG
25일	25/SN + 일/NNB
총파업에	총/MM + 파업/NNG + 에/JKB
돌입키로	돌입/NNG + 하/XSV + 기/ETN + 로/JKB
결의했다고	결의/NNG + 하/XSV + 았/EP + 다고/EC
한다.	하/VV + ㄴ다/EF + ./SF

그들의	그/NP + 들/XSN + 의/JKG
입장에서	입장/NNG + 에서/JKB
구속된	구속/NNG + 되/XSV + ㄴ/ETM
노조	노조/NNG
간부의	간부/NNG + 의/JKG
석방도	석방/NNG + 도/JX
중요하겠지만	중요/NNG + 하/XSA + 겠/EP + 지만/EC
그	그/MM
이유만으로	이유/NNG + 만/JX + 으로/JKB
2만여	2/SN + 만/NR + 여/XSN
명이	명/NNB + 이/JKS
몸담고	몸담/VV + 고/EC
있는	있/VX + 는/ETM
나라의	나라/NNG + 의/JKG
기간	기간/NNG
산업의	산업/NNG + 의/JKG
사업장을	사업장/NNG + 을/JKO
마비시킨다는	마비/NNG + 시키/XSV + ㄴ다는/ETM
것은	것/NNB + 은/JX
설득력이	설득력/NNG + 이/JKS
결여된	결여/NNG + 되/XSV + ㄴ/ETM
행동이라	행동/NNG + 이/VCP + 라/EC
하지	하/VV + 지/EC
않을	않/VX + 을/ETM
수	수/NNB
없다.	없/VA + 다/EF + ./SF

'무노동	'/SS + 무/XPN + 노동/NNG
무임금'원칙의	무/XPN + 임금/NNG + '/SS + 원칙/NNG + 의/JKG
철회를	철회/NNG + 를/JKO
요구하며	요구/NNG + 하/XSV + 며/EC
파업을	파업/NNG + 을/JKO
결의한	결의/NNG + 하/XSV + ㄴ/ETM
기아	기아/NNP
자동차	자동차/NNG
노조측에	노조/NNG + 측/NNB + 에/JKB
대해서도	대하/VV + 아서/EC + 도/JX
마찬가지	마찬가지/NNG
이유로	이유/NNG + 로/JKB
보다	보다/MAG
현명한	현명/NNG + 하/XSA + ㄴ/ETM
처신을	처신/NNG + 을/JKO
기대하고자	기대/NNG + 하/XSV + 고자/EC
한다.	하/VX + ㄴ다/EF + ./SF

14일째	14/SN + 일/NNB + 째/XSN
계속되고	계속/NNG + 되/XSV + 고/EC
있는	있/VX + 는/ETM
KBS	KBS/SL
사태라고	사태/NNG + 이/VCP + 라고/EC
예외는	예외/NNG + 는/JX
아닌	아니/VCN + ㄴ/ETM
성	성/NNB
싶다.	싶/VX + 다/EF + ./SF

절차를	절차/NNG + 를/JKO
생략하고	생략/NNG + 하/XSV + 고/EC
대뜸	대뜸/MAG
최후	최후/NNG
수단에	수단/NNG + 에/JKB
호소하고	호소/NNG + 하/XSV + 고/EC
있는	있/VX + 는/ETM
데	데/NNB
대해	대하/VV + 아/EC
일반이	일반/NNG + 이/JKS
어떻게	어떻/VA + 게/EC
생각하고	생각/NNG + 하/XSV + 고/EC
있는	있/VX + 는/ETM
지도	지/NNB + 도/JX
생각해	생각/NNG + 하/XSV + 아/EC
주었으면	주/VX + 었/EP + 으면/EC
한다.	하/VX + ㄴ다/EF + ./SF

우리는	우리/NP + 는/JX
결코	결코/MAG
누가	누구/NP + 가/JKS
어떤	어떤/MM
신념과	신념/NNG + 과/JC
도덕적인	도덕/NNG + 적/XSN + 이/VCP + ㄴ/ETM
확신,	확신/NNG + ,/SP
그리고	그리고/MAJ
절실한	절실/XR + 하/XSA + ㄴ/ETM
권익	권익/NNG
사항을	사항/NNG + 을/JKO
가지고	가지/VV + 고/EC
있는	있/VX + 는/ETM
것을	것/NNB + 을/JKO
시비하는	시비/NNG + 하/XSV + 는/ETM
것이	것/NNB + 이/JKC
아니다.	아니/VCN + 다/EF + ./SF

또	또/MAG
그런	그런/MM
것의	것/NNB + 의/JKG
관철을	관철/NNG + 을/JKO
위해	위하/VV + 아/EC
나름대로	나름/NNB + 대로/JX
어떤	어떤/MM
행동을	행동/NNG + 을/JKO
취해야	취하/VV + 아야/EC
하겠다고	하/VX + 겠/EP + 다고/EC
믿는	믿/VV + 는/ETM
것을	것/NNB + 을/JKO
시비하는	시비/NNG + 하/XSV + 는/ETM
것도	것/NNB + 도/JX
아니다.	아니/VCN + 다/EF + ./SF

우리가	우리/NP + 가/JKS
개탄하고	개탄/NNG + 하/XSV + 고/EC
배격하는	배격/NNG + 하/XSV + 는/ETM
것은	것/NNB + 은/JX
그	그/MM
행동	행동/NNG
양식과	양식/NNG + 과/JC
방법이	방법/NNG + 이/JKS
때로는	때로/MAG + 는/JX
"초규칙,	"/SS + 초/XPN + 규칙/NNG + ,/SP
초법규,	초/XPN + 법규/NNG + ,/SP
초절차,	초/XPN + 절차/NNG + ,/SP
초순서의	초/XPN + 순서/NNG + 의/JKG
반칙이라도	반칙/NNG + 이/VCP + 라도/EC
괜찮다"는	괜찮/VA + 다/EF + "/SS + 는/ETM
식의	식/NNB + 의/JKG
비입헌주의적	비/XPN + 입헌주의/NNG + 적/XSN
자의성에	자의/NNG + 성/XSN + 에/JKB
빠지는	빠지/VV + 는/ETM
작금의	작금/NNG + 의/JKG
일부	일부/NNG
풍조인	풍조/NNG + 이/VCP + ㄴ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

헬무트콜	헬무트콜/NNP
총리가	총리/NNG + 가/JKS
이끄는	이끌/VV + 는/ETM
서독	서독/NNP
정부는	정부/NNG + 는/JX
동독인들의	동독인/NNG + 들/XSN + 의/JKG
예금을	예금/NNG + 을/JKO
1대	1/SN + 대/NNB
1로	1/SN + 로/JKB
교환해	교환/NNG + 하/XSV + 아/EC
주기로	주/VX + 기/ETN + 로/JKB
결정함으로써	결정/NNG + 하/XSV + ㅁ/ETN + 으로써/JKB
통독의	통독/NNP + 의/JKG
길에	길/NNG + 에/JKB
성큼	성큼/MAG
다가섰다.	다가서/VV + 었/EP + 다/EF + ./SF

그동안	그동안/NNG
동-서독간의	동/NNG + -/SS + 서독/NNP + 간/NNB + 의/JKG
통화	통화/NNG
단일화	단일/NNG + 화/XSN
문제는	문제/NNG + 는/JX
독일	독일/NNP
통일의	통일/NNG + 의/JKG
가장	가장/MAG
민감하고	민감/XR + 하/XSA + 고/EC
양쪽의	양쪽/NNG + 의/JKG
이해가	이해/NNG + 가/JKS
첨예하게	첨예/XR + 하/XSA + 게/EC
얽힌	얽히/VV + ㄴ/ETM
문제로	문제/NNG + 로/JKB
인식되어	인식/NNG + 되/XSV + 어/EC
왔다.	오/VX + 았/EP + 다/EF + ./SF

2차대전	2/SN + 차/NNB + 대전/NNG
이후	이후/NNG
서독	서독/NNP
마르크의	마르크/NNB + 의/JKG
지속적인	지속/NNG + 적/XSN + 이/VCP + ㄴ/ETM
안정을	안정/NNG + 을/JKO
이룩하여	이룩/XR + 하/XSV + 아/EC
라인강의	라인강/NNP + 의/JKG
기적을	기적/NNG + 을/JKO
가능케	가능/NNG + 하/XSA + 게/EC
했던	하/VX + 았/EP + 던/ETM
분데스	분데스/NNP
뱅크(서독연방	뱅크/NNG + (/SS + 서독연방/NNP
은행)는	은행/NNG + )/SS + 는/JX
동독과의	동독/NNP + 과/JKB + 의/JKG
통화	통화/NNG
교환율을	교환/NNG + 율/XSN + 을/JKO
1대	1/SN + 대/NNB
1로	1/SN + 로/JKB
할	하/VV + ㄹ/ETM
경우	경우/NNG
인플레와	인플레/NNG + 와/JC
고실업을	고/XPN + 실업/NNG + 을/JKO
유발한다고	유발/NNG + 하/XSV + ㄴ다고/EC
적극	적극/NNG
반대해	반대/NNG + 하/XSV + 아/EC
왔다.	오/VX + 았/EP + 다/EF + ./SF

그러나	그러나/MAJ
콜	콜/NNP
총리를	총리/NNG + 를/JKO
위시한	위시/NNG + 하/XSV + ㄴ/ETM
서독의	서독/NNP + 의/JKG
정치인들은	정치인/NNG + 들/XSN + 은/JX
통독을	통독/NNP + 을/JKO
앞당기고	앞당기/VV + 고/EC
요즈음에도	요즈음/NNG + 에/JKB + 도/JX
매주	매주/NNG
5천여	5/SN + 천/NR + 여/XSN
명씩	명/NNB + 씩/XSN
동독을	동독/NNP + 을/JKO
떠나	떠나/VV + 아/EC
서독으로	서독/NNP + 으로/JKB
오는	오/VV + 는/ETM
인파를	인파/NNG + 를/JKO
막기	막/VV + 기/ETN
위해	위하/VV + 아/EC
1대	1/SN + 대/NNB
1의	1/SN + 의/JKG
교환을	교환/NNG + 을/JKO
공약했던	공약/NNG + 하/XSV + 았/EP + 던/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

이번	이번/NNG
서독	서독/NNP
정부의	정부/NNG + 의/JKG
교환비율	교환/NNG + 비율/NNG
결정은	결정/NNG + 은/JX
동독	동독/NNP
사람들의	사람/NNG + 들/XSN + 의/JKG
임금과	임금/NNG + 과/JC
연금에	연금/NNG + 에/JKB
전부	전부/MAG
적용되며,	적용/NNG + 되/XSV + 며/EC + ,/SP
예금에	예금/NNG + 에/JKB
있어서는	있/VV + 어서/EC + 는/JX
4천	4/SN + 천/NR
마르크까지만	마르크/NNB + 까지/JX + 만/JX
적용하도록	적용/NNG + 하/XSV + 도록/EC
되어	되/VV + 어/EC
있다.	있/VX + 다/EF + ./SF

이	이/NP
같은	같/VA + 은/ETM
서독	서독/NNP
정부의	정부/NNG + 의/JKG
결정에	결정/NNG + 에/JKB
대해서	대하/VV + 아서/EC
동독	동독/NNP
사람들은	사람/NNG + 들/XSN + 은/JX
모든	모든/MM
예금에	예금/NNG + 에/JKB
등가	등가/NNG
교환을	교환/NNG + 을/JKO
적용하지	적용/NNG + 하/XSV + 지/EC
않는다고	않/VX + 는다고/EC
불만을	불만/NNG + 을/JKO
토로하고	토로/NNG + 하/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

24일부터	24/SN + 일/NNB + 부터/JX
본에서	본/NNP + 에서/JKB
열리고	열리/VV + 고/EC
있는	있/VX + 는/ETM
동-서독	동/NNG + -/SS + 서독/NNP
총리간의	총리/NNG + 간/NNB + 의/JKG
통화	통화/NNG
및	및/MAG
경제	경제/NNG
통합에	통합/NNG + 에/JKB
관한	관하/VV + ㄴ/ETM
협상에서	협상/NNG + 에서/JKB
이	이/MM
문제가	문제/NNG + 가/JKS
어떤	어떤/MM
선에서	선/NNG + 에서/JKB
최종	최종/NNG
타결될	타결/NNG + 되/XSV + ㄹ/ETM
것인지는	것/NNB + 이/VCP + ㄴ지/EC + 는/JX
알	알/VV + ㄹ/ETM
수	수/NNB
없으나	없/VA + 으나/EC
양독	양/MM + 독/NNP
정부	정부/NNG
지도자간에	지도자/NNG + 간/NNB + 에/JKB
서로를	서로/NNG + 를/JKO
신뢰할	신뢰/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
기틀이	기틀/NNG + 이/JKS
마련된	마련/NNG + 되/XSV + ㄴ/ETM
것만은	것/NNB + 만/JX + 은/JX
사실이다.	사실/NNG + 이/VCP + 다/EF + ./SF

이	이/NP
같은	같/VA + 은/ETM
협상의	협상/NNG + 의/JKG
기틀을	기틀/NNG + 을/JKO
마련하는	마련/NNG + 하/XSV + 는/ETM
데만도	데/NNB + 만/JX + 도/JX
소요되는	소요/NNG + 되/XSV + 는/ETM
서독측의	서독/NNP + 측/NNB + 의/JKG
부담은	부담/NNG + 은/JX
만만치가	만만/XR + 하/XSA + 지/EC + 가/JKS
않다.	않/VX + 다/EF + ./SF

서독	서독/NNP
정부의	정부/NNG + 의/JKG
제안대로	제안/NNG + 대로/JX
한정된	한정/NNG + 되/XSV + ㄴ/ETM
예금액에	예금액/NNG + 에/JKB
대해서만	대하/VV + 아서/EC + 만/JX
1대	1/SN + 대/NNB
1로	1/SN + 로/JKB
화폐	화폐/NNG
교환을	교환/NNG + 을/JKO
해주어도	하/VV + 아/EC + 주/VX + 어도/EC
서독은	서독/NNP + 은/JX
1천	1/SN + 천/NR
1백억	1/SN + 백억/NR
마르크(45조원	마르크/NNB + (/SS + 45/SN + 조/NR + 원/NNB
해당)를	해당/NNG + )/SS + 를/JKO
새로	새로/MAG
발행해야	발행/NNG + 하/XSV + 아야/EC
하며,	하/VX + 며/EC + ,/SP
이는	이/NP + 는/JX
현	현/MM
서독	서독/NNP
통화량의	통화량/NNG + 의/JKG
10%에	10/SN + %/SW + 에/JKB
달하는	달하/VV + 는/ETM
액수가	액수/NNG + 가/JKC
된다.	되/VV + ㄴ다/EF + ./SF

서독	서독/NNP
정부의	정부/NNG + 의/JKG
등가	등가/NNG
교환	교환/NNG
방침이	방침/NNG + 이/JKS
발표되자	발표/NNG + 되/XSV + 자/EC
전세계	전/MM + 세계/NNG
외환	외환/NNG
시장에서	시장/NNG + 에서/JKB
그동안	그동안/NNG
강세	강세/NNG
통화의	통화/NNG + 의/JKG
대명사였던	대명사/NNG + 이/VCP + 었/EP + 던/ETM
서독	서독/NNP
마르크화가	마르크화/NNG + 가/JKS
급락하는	급락/NNG + 하/XSV + 는/ETM
현상을	현상/NNG + 을/JKO
보였다.	보이/VV + 었/EP + 다/EF + ./SF

콜	콜/NNP
총리	총리/NNG
정부의	정부/NNG + 의/JKG
결정이	결정/NNG + 이/JKS
마르크의	마르크/NNB + 의/JKG
안정성까지	안정/NNG + 성/XSN + 까지/JX
내건	내걸/VV + ㄴ/ETM
대담한	대담/NNG + 하/XSA + ㄴ/ETM
결단이었다는	결단/NNG + 이/VCP + 었/EP + 다는/ETM
사실을	사실/NNG + 을/JKO
미루어	미루/VV + 어/EC
짐작할	짐작/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

앞으로	앞/NNG + 으로/JKB
서독	서독/NNP
정부는	정부/NNG + 는/JX
통화	통화/NNG
증발로	증발/NNG + 로/JKB
인한	인하/VV + ㄴ/ETM
인플레를	인플레/NNG + 를/JKO
억제하기	억제/NNG + 하/XSV + 기/ETN
위해서	위하/VV + 아서/EC
금리와	금리/NNG + 와/JC
세금을	세금/NNG + 을/JKO
인상할	인상/NNG + 하/XSV + ㄹ/ETM
것으로	것/NNB + 으로/JKB
예상된다.	예상/NNG + 되/XSV + ㄴ다/EF + ./SF

통독을	통독/NNP + 을/JKO
위한	위하/VV + ㄴ/ETM
비용과	비용/NNG + 과/JC
부담이	부담/NNG + 이/JKS
일단은	일단/MAG + 은/JX
서독	서독/NNP
국민들	국민/NNG + 들/XSN
개개인에게	개개인/NNG + 에게/JKB
돌아갈	돌아가/VV + ㄹ/ETM
수밖에	수/NNB + 밖에/JX
없기	없/VA + 기/ETN
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

그러나	그러나/MAJ
금리와	금리/NNG + 와/JC
세금의	세금/NNG + 의/JKG
인상은	인상/NNG + 은/JX
통일을	통일/NNG + 을/JKO
위한	위하/VV + ㄴ/ETM
댓가로	댓가/NNG + 로/JKB
당분간	당분간/MAG
서독인들을	서독인/NNG + 들/XSN + 을/JKO
납득시킬	납득/NNG + 시키/XSV + ㄹ/ETM
수는	수/NNB + 는/JX
있겠지만,	있/VV + 겠/EP + 지만/EC + ,/SP
심각한	심각/XR + 하/XSA + ㄴ/ETM
것은	것/NNB + 은/JX
최고	최고/NNG
5백만명으로	5/SN + 백만/NR + 명/NNB + 으로/JKB
예상되는	예상/NNG + 되/XSV + 는/ETM
실업자의	실업자/NNG + 의/JKG
증가	증가/NNG
문제이다.	문제/NNG + 이/VCP + 다/EF + ./SF

지난	지나/VV + ㄴ/ETM
해부터	해/NNG + 부터/JX
서독으로	서독/NNP + 으로/JKB
건너온	건너오/VV + ㄴ/ETM
50만명에	50/SN + 만/NR + 명/NNB + 에/JKB
달하는	달하/VV + 는/ETM
동독인중	동독인/NNG + 중/NNB
15만명	15/SN + 만/NR + 명/NNB
이상이	이상/NNG + 이/JKS
실업	실업/NNG
상태에	상태/NNG + 에/JKB
있고,	있/VV + 고/EC + ,/SP
그	그/MM
수가	수/NNG + 가/JKS
계속	계속/MAG
늘어나는	늘어나/VV + 는/ETM
상황에서	상황/NNG + 에서/JKB
통화	통화/NNG
단일화	단일/NNG + 화/XSN
여파로	여파/NNG + 로/JKB
계속	계속/MAG
실업자가	실업자/NNG + 가/JKS
증가할	증가/NNG + 하/XSV + ㄹ/ETM
때	때/NNG
서독인들의	서독인/NNG + 들/XSN + 의/JKG
통독	통독/NNP
염원이	염원/NNG + 이/JKS
변질될	변질/NNG + 되/XSV + ㄹ/ETM
가능성을	가능/NNG + 성/XSN + 을/JKO
배제할	배제/NNG + 하/XSV + ㄹ/ETM
수도	수/NNB + 도/JX
없는	없/VA + 는/ETM
형편이다.	형편/NNG + 이/VCP + 다/EF + ./SF

이제	이제/MAG
서독은	서독/NNP + 은/JX
통독을	통독/NNP + 을/JKO
위해서	위하/VV + 아서/EC
본격적인	본격/NNG + 적/XSN + 이/VCP + ㄴ/ETM
지출을	지출/NNG + 을/JKO
시작한	시작/NNG + 하/XSV + ㄴ/ETM
셈이다.	셈/NNG + 이/VCP + 다/EF + ./SF

통일의	통일/NNG + 의/JKG
대가를	대가/NNG + 를/JKO
마르크화로	마르크화/NNG + 로/JKB
치르고	치르/VV + 고/EC
있는	있/VX + 는/ETM
서독	서독/NNP
정부와	정부/NNG + 와/JC
국민들간의	국민/NNG + 들/XSN + 간/NNB + 의/JKG
공감대가	공감대/NNG + 가/JKS
지속된다면,	지속/NNG + 되/XSV + ㄴ다면/EC + ,/SP
통독의	통독/NNP + 의/JKG
날은	날/NNG + 은/JX
더욱	더욱/MAG
앞당겨질	앞당기/VV + 어/EC + 지/VX + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

우리는	우리/NP + 는/JX
정부가	정부/NNG + 가/JKS
7일	7/SN + 일/NNB
강영훈	강영훈/NNP
국무	국무/NNG
총리의	총리/NNG + 의/JKG
대국민	대국민/NNG
담화문	담화문/NNG
형식으로	형식/NNG + 으로/JKB
현시국	현/MM + 시국/NNG
상황에	상황/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
정부의	정부/NNG + 의/JKG
입장과	입장/NNG + 과/JC
대처	대처/NNG
방안을	방안/NNG + 을/JKO
밝히기로	밝히/VV + 기/ETN + 로/JKB
한	하/VX + ㄴ/ETM
데	데/NNB
대해	대하/VV + 아/EC
몇	몇/MM
가지	가지/NNB
이의를	이의/NNG + 를/JKO
제기하지	제기/NNG + 하/XSV + 지/EC
않을	않/VX + 을/ETM
수	수/NNB
없다.	없/VA + 다/EF + ./SF

그런	그런/MM
조치가	조치/NNG + 가/JKS
필요	필요/NNG
없다는	없/VA + 다는/ETM
얘기가	얘기/NNG + 가/JKC
아니다.	아니/VCN + 다/EF + ./SF

정부	정부/NNG
스스로	스스로/MAG
'총체적	'/SS + 총체/NNG + 적/XSN
난국'이라고	난국/NNG + '/SS + 이/VCP + 라고/EC
규정할	규정/NNG + 하/XSV + ㄹ/ETM
만큼	만큼/NNB
시국	시국/NNG
상황은	상황/NNG + 은/JX
어지럽고	어지럽/VA + 고/EC
시끄러운데,	시끄럽/VA + 은데/EC + ,/SP
정부가	정부/NNG + 가/JKS
대응하는	대응/NNG + 하/XSV + 는/ETM
자세는	자세/NNG + 는/JX
지나치게	지나치/VA + 게/EC
소극적이며	소극/NNG + 적/XSN + 이/VCP + 며/EC
안이하다는	안이/XR + 하/XSA + 다는/ETM
느낌을	느낌/NNG + 을/JKO
주고	주/VV + 고/EC
있기	있/VX + 기/ETN
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

우선,	우선/MAG + ,/SP
위기	위기/NNG
상황에	상황/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
정부	정부/NNG
처방을	처방/NNG + 을/JKO
담화문이란	담화문/NNG + 이/VCP + 란/ETM
이름	이름/NNG
아래	아래/NNG
발표한다는	발표/NNG + 하/XSV + ㄴ다는/ETM
발상부터가	발상/NNG + 부터/JX + 가/JKS
그렇다.	그렇/VA + 다/EF + ./SF

통상	통상/MAG
정부의	정부/NNG + 의/JKG
담화문은	담화문/NNG + 은/JX
어떠한	어떠/XR + 하/XSA + ㄴ/ETM
사안이나	사안/NNG + 이나/JC
시국	시국/NNG
상황에	상황/NNG + 에/JKB
대해	대하/VV + 아/EC
국민에게	국민/NNG + 에게/JKB
당부하고	당부/NNG + 하/XSV + 고/EC
협조를	협조/NNG + 를/JKO
구하는	구하/VV + 는/ETM
내용을	내용/NNG + 을/JKO
담게	담/VV + 게/EC
마련이다.	마련/NNB + 이/VCP + 다/EF + ./SF

국어	국어/NNG
사전도	사전/NNG + 도/JX
담화의	담화/NNG + 의/JKG
뜻을	뜻/NNG + 을/JKO
ⓛ이야기	ⓛ/SW + 이야기/NNG
❷한	❷/SW + 한/MM
단체나	단체/NNG + 나/JC
한	한/MM
개인이	개인/NNG + 이/JKS
어떠한	어떠/XR + 하/XSA + ㄴ/ETM
사물에	사물/NNG + 에/JKB
대하여	대하/VV + 아/EC
그의	그/NP + 의/JKG
의견이나	의견/NNG + 이나/JC
태도를	태도/NNG + 를/JKO
분명히	분명히/MAG
하기	하/VV + 기/ETN
위해	위하/VV + 아/EC
하는	하/VV + 는/ETM
말이라고	말/NNG + 이/VCP + 라고/EC
풀이해	풀이/NNG + 하/XSV + 아/EC
놓았다.	놓/VX + 았/EP + 다/EF + ./SF

그러므로	그러므로/MAJ
'총체적	'/SS + 총체/NNG + 적/XSN
난국'에	난국/NNG + '/SS + 에/JKB
대한	대하/VV + ㄴ/ETM
종합	종합/NNG
대책을	대책/NNG + 을/JKO
담화	담화/NNG
형식으로	형식/NNG + 으로/JKB
발표한다는	발표/NNG + 하/XSV + ㄴ다는/ETM
것은	것/NNB + 은/JX
논리상	논리/NNG + 상/XSN
맞지	맞/VV + 지/EC
않으며,	않/VX + 으며/EC + ,/SP
현	현/MM
시국의	시국/NNG + 의/JKG
여러	여러/MM
상황에	상황/NNG + 에/JKB
비추어	비추/VV + 어/EC
너무	너무/MAG
한가하다는	한가/XR + 하/XSA + 다는/ETM
느낌을	느낌/NNG + 을/JKO
