서울	서울/NNP
시내보다도	시내/NNG + 보다/JKB + 도/JX
평균	평균/NNG
3도가	3/SN + 도/NNB + 가/JKS
낮아요.	낮/VA + 아요/EF + ./SF

시내	시내/NNG
버스가	버스/NNG + 가/JKS
자주	자주/MAG
들어와서	들어오/VV + 아서/EC
차	차/NNG
없이	없이/MAG
와도	오/VV + 아도/EC
주변	주변/NNG
관광명승지나	관광/NNG + 명승지/NNG + 나/JC
바닷가로	바닷가/NNG + 로/JKB
얼마든지	얼마/NNG + 이/VCP + 든지/EC
나갈	나가/VV + ㄹ/ETM
수	수/NNB
있죠.	있/VV + 죠/EF + ./SF

최소	최소/NNG
2박3일은	2/SN + 박/NNB + 3/SN + 일/NNB + 은/JX
지내고	지내/VV + 고/EC
가실만	가/VV + 시/EP + ㄹ/ETM + 만/NNB
합니다."	하/VX + ㅂ니다/EF + ./SF + "/SS

장상국	장상국/NNP
강원도	강원도/NNP
수련장장은	수련장장/NNG + 은/JX
편안함에	편안/NNG + 하/XSA + ㅁ/ETN + 에/JKB
익숙해진	익숙/XR + 하/XSA + 아/EC + 지/VX + ㄴ/ETM
도시인들에게	도시인/NNG + 들/XSN + 에게/JKB
특히	특히/MAG
야영과	야영/NNG + 과/JC
모험	모험/NNG
기회가	기회/NNG + 가/JKS
필요할	필요/NNG + 하/XSA + ㄹ/ETM
것이라고	것/NNB + 이/VCP + 라고/EC
강조한다.	강조/NNG + 하/XSV + ㄴ다/EF + ./SF

울산바위가	울산바위/NNP + 가/JKS
바로	바로/MAG
올려다보이는	올리/VV + 어다/EC + 보이/VV + 는/ETM
이	이/MM
지역은	지역/NNG + 은/JX
새로운	새롭/VA + ㄴ/ETM
동해안	동해안/NNG
관광	관광/NNG
지역으로	지역/NNG + 으로/JKB
최근	최근/NNG
몇	몇/MM
년	년/NNB
사이	사이/NNG
면모를	면모/NNG + 를/JKO
완전히	완전히/MAG
새로이	새로이/MAG
했다.	하/VV + 았/EP + 다/EF + ./SF

수련장	수련장/NNG
바로	바로/MAG
위쪽에	위쪽/NNG + 에/JKB
화암사가	화암사/NNP + 가/JKS
있고	있/VV + 고/EC
척산	척산/NNP
온천과	온천/NNG + 과/JC
설악프라자와	설악프라자/NNP + 와/JC
대명-현대-삼성	대명/NNP + -/SS + 현대/NNP + -/SS + 삼성/NNP
등	등/NNB
크고	크/VA + 고/EC
작은	작/VA + 은/ETM
콘도들이	콘도/NNG + 들/XSN + 이/JKS
들어선	들어서/VV + ㄴ/ETM
콘도촌이	콘도촌/NNG + 이/JKS
바로	바로/MAG
수련장	수련장/NNG
위쪽에	위쪽/NNG + 에/JKB
자리하고	자리/NNG + 하/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

통일	통일/NNG
전망대도	전망대/NNG + 도/JX
자동차로	자동차/NNG + 로/JKB
30분	30/SN + 분/NNB
내외	내외/NNG
거리에	거리/NNG + 에/JKB
있다.	있/VV + 다/EF + ./SF

잼버리	잼버리/NNG
수련장	수련장/NNG
시설로	시설/NNG + 로/JKB
가장	가장/MAG
눈에	눈/NNG + 에/JKB
뜨이는	뜨이/VV + 는/ETM
것은	것/NNB + 은/JX
모험장.	모험장/NNG + ./SF

줄사다리	줄사다리/NNG
타고	타/VV + 고/EC
오르기,	오르/VV + 기/ETN + ,/SP
통나무	통나무/NNG
다리	다리/NNG
건너기로	건너/VV + 기/ETN + 로/JKB
시작,	시작/NNG + ,/SP
외줄	외줄/NNG
건너기('동작	건너/VV + 기/ETN + (/SS + '/SS + 동작/NNG
그만')로	그만/MAG + '/SS + )/SS + 로/JKB
끝나는	끝나/VV + 는/ETM
19	19/SN
개	개/NNB
코스의	코스/NNG + 의/JKG
모험	모험/NNG
놀이	놀이/NNG
시설은	시설/NNG + 은/JX
산자락	산자락/NNG
깊숙이,	깊숙이/MAG + ,/SP
숲이	숲/NNG + 이/JKS
우거진	우거지/VV + ㄴ/ETM
골짜기에	골짜기/NNG + 에/JKB
들어	들/VV + 어/EC
있다.	있/VX + 다/EF + ./SF

중학생-고등학생	중학/NNG + 생/XSN + -/SS + 고등학생/NNG
정도면	정도/NNG + 이/VCP + 면/EC
19	19/SN
개	개/NNB
모험	모험/NNG
수련	수련/NNG
시설을	시설/NNG + 을/JKO
모두	모두/MAG
쓸	쓰/VV + ㄹ/ETM
수	수/NNB
있지만	있/VV + 지만/EC
국민학생만	국민학생/NNG + 만/JX
되어도	되/VV + 어도/EC
한두	한두/MM
가지	가지/NNB
정도는	정도/NNG + 는/JX
이용할	이용/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

캠프촌으로	캠프촌/NNG + 으로/JKB
이용될	이용/NNG + 되/XSV + ㄹ/ETM
제	제/XPN
1,	1/SN + ,/SP
2	2/SN
수련장은	수련장/NNG + 은/JX
중형	중형/NNG
텐트	텐트/NNG
3천여	3/SN + 천/NR + 여/XSN
개	개/NNB
이상이	이상/NNG + 이/JKS
한꺼번에	한꺼번에/MAG
들어	들/VV + 어/EC
설	서/VV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
규모.	규모/NNG + ./SF

호삼이	호삼/NNP + 이/JKS
운영하는	운영/NNG + 하/XSV + 는/ETM
제	제/XPN
2	2/SN
수련장에는	수련장/NNG + 에/JKB + 는/JX
고정식	고정식/NNG
텐트도	텐트/NNG + 도/JX
설치돼	설치/NNG + 되/XSV + 어/EC
있어	있/VX + 어/EC
대가족이나	대/XPN + 가족/NNG + 이나/JC
단체	단체/NNG
이용객들이	이용객/NNG + 들/XSN + 이/JKS
따로	따로/MAG
텐트를	텐트/NNG + 를/JKO
가져가지	가져가/VV + 지/EC
않고도	않/VX + 고/EC + 도/JX
이	이/MM
곳에	곳/NNG + 에/JKB
묵을	묵/VV + 을/ETM
수	수/NNB
있으며	있/VV + 으며/EC
소형	소형/NNG
텐트를	텐트/NNG + 를/JKO
빌려주기도	빌리/VV + 어/EC + 주/VX + 기/ETN + 도/JX
한다.	하/VX + ㄴ다/EF + ./SF

수련장	수련장/NNG
지역에는	지역/NNG + 에/JKB + 는/JX
샤워장과	샤워장/NNG + 과/JC
화장실이	화장실/NNG + 이/JKS
별도	별도/NNG
건물로	건물/NNG + 로/JKB
5채	5/SN + 채/NNB
있으며,	있/VV + 으며/EC + ,/SP
야외	야외/NNG
샤워장도	샤워장/NNG + 도/JX
마련돼	마련/NNG + 되/XSV + 어/EC
있다.	있/VX + 다/EF + ./SF

설악산에서	설악산/NNP + 에서/JKB
내려	내리/VV + 어/EC
오는	오/VX + 는/ETM
지하수를	지하수/NNG + 를/JKO
연결한	연결/NNG + 하/XSV + ㄴ/ETM
옥내외	옥내외/NNG
샤워장은	샤워장/NNG + 은/JX
24시간	24/SN + 시간/NNG
계속	계속/MAG
이용할	이용/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

취사	취사/NNG
시설이	시설/NNG + 이/JKS
따로	따로/MAG
없는	없/VA + 는/ETM
것이	것/NNB + 이/JKS
흠.	흠/NNG + ./SF

음식을	음식/NNG + 을/JKO
할	하/VV + ㄹ/ETM
수	수/NNB
있도록	있/VV + 도록/EC
개수대와	개수대/NNG + 와/JC
수도	수도/NNG
시설은	시설/NNG + 은/JX
샤워장	샤워장/NNG
건물과	건물/NNG + 과/JC
옥외에	옥외/NNG + 에/JKB
별도로	별도/NNG + 로/JKB
마련돼	마련/NNG + 되/XSV + 어/EC
있다.	있/VX + 다/EF + ./SF

캠프장	캠프장/NNG
전망대에서는	전망대/NNG + 에서/JKB + 는/JX
설악산과	설악산/NNP + 과/JC
동해가	동해/NNG + 가/JKS
한	한/MM
눈에	눈/NNG + 에/JKB
들어	들/VV + 어/EC
온다.	오/VX + ㄴ다/EF + ./SF

캠프장은	캠프장/NNG + 은/JX
24시간	24/SN + 시간/NNG
개방.	개방/NNG + ./SF

이용료는	이용료/NNG + 는/JX
1인당	1/SN + 인/NNG + 당/XSN
하루	하루/NNG
▴	▴/SW
어른	어른/NNG
2천원	2/SN + 천/NR + 원/NNB
▴	▴/SW
청소년-군인-학생	청소년/NNG + -/SS + 군인/NNG + -/SS + 학생/NNG
1천	1/SN + 천/NR
5백원	5/SN + 백/NR + 원/NNB
▴	▴/SW
어린이	어린이/NNG
1천원.	1/SN + 천/NR + 원/NNB + ./SF

반드시	반드시/MAG
예약해야	예약/NNG + 하/XSV + 아야/EC
하며,	하/VX + 며/EC + ,/SP
현장에	현장/NNG + 에/JKB
도착해	도착/NNG + 하/XSV + 아/EC
관리사무소에	관리/NNG + 사무소/NNG + 에/JKB
등록하면	등록/NNG + 하/XSV + 면/EC
텐트	텐트/NNG
칠	치/VV + ㄹ/ETM
곳을	곳/NNG + 을/JKO
지정해준다.	지정/NNG + 하/XSV + 아/EC + 주/VX + ㄴ다/EF + ./SF

예약은	예약/NNG + 은/JX
(0392)	(/SS + 0392/SN + )/SS
33-8107(강원도	33/SN + -/SS + 8107/SN + (/SS + 강원도/NNP
세계잼버리수련장),	세계/NNG + 잼버리/NNG + 수련장/NNG + )/SS + ,/SP
(0392)33-1494,	(/SS + 0392/SN + )/SS + 33/SN + -/SS + 1494/SN + ,/SP
(02)	(/SS + 02/SN + )/SS
424-3417(호삼	424/SN + -/SS + 3417/SN + (/SS + 호삼/NNP
설악	설악/NNP
수련장).	수련장/NNG + )/SS + ./SF

이	이/MM
달로	달/NNG + 로/JKB
강원도	강원도/NNP
세계잼버리	세계/NNG + 잼버리/NNG
수련장	수련장/NNG
근무	근무/NNG
1년을	1/SN + 년/NNB + 을/JKO
맞는	맞/VV + 는/ETM
지경림	지경림/NNP
씨(32)는	씨/NNB + (/SS + 32/SN + )/SS + 는/JX
드물게	드물/VA + 게/EC
보는	보/VV + 는/ETM
직종의	직종/NNG + 의/JKG
공무원이다.	공무원/NNG + 이/VCP + 다/EF + ./SF

잼버리	잼버리/NNG
수련장에	수련장/NNG + 에/JKB
찾아	찾/VV + 아/EC
오는	오/VV + 는/ETM
중-고등학교	중/NNG + -/SS + 고등학교/NNG
학생단체나	학생/NNG + 단체/NNG + 나/JC
가족	가족/NNG
캠핑객에게	캠핑객/NNG + 에게/JKB
즐거운	즐겁/VA + ㄴ/ETM
게임과	게임/NNG + 과/JC
낭만적인	낭만/NNG + 적/XSN + 이/VCP + ㄴ/ETM
캠프파이어	캠프파이어/NNG
시간을	시간/NNG + 을/JKO
제공하는	제공/NNG + 하/XSV + 는/ETM
것이	것/NNB + 이/JKS
7급	7/SN + 급/NNG
별정직	별정직/NNG
공무원	공무원/NNG
지씨의	지/NNP + 씨/NNB + 의/JKG
임무.	임무/NNG + ./SF

"여름이면	"/SS + 여름/NNG + 이/VCP + 면/EC
늘	늘/MAG
야근이죠.	야근/NNG + 이/VCP + 죠/EF + ./SF

해질	해/NNG + 지/VV + ㄹ/ETM
무렵이	무렵/NNB + 이/JKC
캠프	캠프/NNG
파이어에	파이어/NNG + 에/JKB
제일	제/XPN + 일/NR
알맞은	알맞/VA + 은/ETM
시간이거든요.	시간/NNG + 이/VCP + 거든요/EF + ./SF

옆	옆/NNG
텐트	텐트/NNG
가족들끼리	가족/NNG + 들/XSN + 끼리/XSN
함께	함께/MAG
어울리도록	어울리/VV + 도록/EC
권하기도	권하/VV + 기/ETN + 도/JX
합니다.	하/VX + ㅂ니다/EF + ./SF

"	"/SS
대학	대학/NNG
졸업	졸업/NNG
후	후/NNG
줄곧	줄곧/MAG
레크리에이션	레크리에이션/NNG
지도자로	지도자/NNG + 로/JKB
일해	일/NNG + 하/XSV + 아/EC
온	오/VX + ㄴ/ETM
그는	그/NP + 는/JX
기업체	기업체/NNG
연수	연수/NNG
등	등/NNB
굵직굵직한	굵직굵직/XR + 하/XSA + ㄴ/ETM
프로그램을	프로그램/NNG + 을/JKO
맡아	맡/VV + 아/EC
온	오/VX + ㄴ/ETM
베테랑	베테랑/NNG
레크리에이션	레크리에이션/NNG
지도자.	지도자/NNG + ./SF

숙명여대	숙명여대/NNP
정외과를	정외과/NNG + 를/JKO
나온	나오/VV + ㄴ/ETM
그는	그/NP + 는/JX
대학가요제에	대학/NNG + 가요제/NNG + 에/JKB
출전,	출전/NNG + ,/SP
'산너머	'/SS + 산/NNG + 너머/NNG
저멀리'란	저멀리/MAG + '/SS + 이/VCP + 란/ETM
노래를	노래/NNG + 를/JKO
취입하기도	취입/NNG + 하/XSV + 기/ETN + 도/JX
한	하/VX + ㄴ/ETM
재주꾼으로,	재주/NNG + 꾼/XSN + 으로/JKB + ,/SP
별정직	별정직/NNG
공무원이	공무원/NNG + 이/JKC
되면서	되/VV + 면서/EC
수입이	수입/NNG + 이/JKS
3분의	3/SN + 분/XSN + 의/JKG
1로	1/SN + 로/JKB
줄었지만	줄/VV + 었/EP + 지만/EC
'봉사'라는	'/SS + 봉사/NNG + '/SS + 이/VCP + 라는/ETM
새로운	새롭/VA + ㄴ/ETM
일이	일/NNG + 이/JKS
큰	크/VA + ㄴ/ETM
보람이라고	보람/NNG + 이/VCP + 라고/EC
말한다.	말/NNG + 하/XSV + ㄴ다/EF + ./SF

"콘도나	"/SS + 콘도/NNG + 나/JC
호텔만큼	호텔/NNG + 만큼/JKB
편하지는	편하/VA + 지/EC + 는/JX
않겠지만,	않/VX + 겠/EP + 지만/EC + ,/SP
자연에	자연/NNG + 에/JKB
파묻혀	파묻히/VV + 어/EC
생생한	생생/XR + 하/XSA + ㄴ/ETM
체험을	체험/NNG + 을/JKO
가져	가지/VV + 어/EC
볼	보/VX + ㄹ/ETM
기회죠.	기회/NNG + 이/VCP + 죠/EF + ./SF

아이들에게도	아이/NNG + 들/XSN + 에게/JKB + 도/JX
힘든	힘들/VA + ㄴ/ETM
게	것/NNB + 이/JKS
뭔지,	뭐/NP + 이/VCP + ㄴ지/EC + ,/SP
즐거움이	즐거움/NNG + 이/JKS
뭔지	뭐/NP + 이/VCP + ㄴ지/EC
체험할	체험/NNG + 하/XSV + ㄹ/ETM
기회가	기회/NNG + 가/JKC
될	되/VV + ㄹ/ETM
거예요."	거/NNB + 이/VCP + 에요/EF + ./SF + "/SS

무얼하고	무엇/NP + ㄹ/JKO + 하/VV + 고/EC
놀아야	놀/VV + 아야/EC
할지	하/VX + ㄹ지/EC
고민인	고민/NNG + 이/VCP + ㄴ/ETM
사람은	사람/NNG + 은/JX
자신을	자신/NNG + 을/JKO
찾아달라고	찾/VV + 아/EC + 달/VX + 라고/EC
지씨는	지/NNP + 씨/NNB + 는/JX
자원한다.	자원/NNG + 하/XSV + ㄴ다/EF + ./SF

우리	우리/NP
나라에서	나라/NNG + 에서/JKB
한국사람을	한국/NNP + 사람/NNG + 을/JKO
상대로	상대/NNG + 로/JKB
팔고	팔/VV + 고/EC
있는	있/VX + 는/ETM
모든	모든/MM
생수는	생수/NNG + 는/JX
불법이다.	불법/NNG + 이/VCP + 다/EF + ./SF

그러나	그러나/MAJ
집집마다	집집/NNG + 마다/JX
생수를	생수/NNG + 를/JKO
배달받아	배달/NNG + 받/VV + 아/EC
먹고	먹/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

사무실에도	사무실/NNG + 에/JKB + 도/JX
대형	대형/NNG
생수통을	생수/NNG + 통/NNG + 을/JKO
갖다	갖/VV + 다/EC
놓고	놓/VX + 고/EC
마신다.	마시/VV + ㄴ다/EF + ./SF

이런	이런/MM
현실	현실/NNG
속에서도	속/NNG + 에서/JKB + 도/JX
관련법에서는	관련/NNG + 법/NNG + 에서/JKB + 는/JX
'생수	'/SS + 생수/NNG
시판	시판/NNG
자체가	자체/NNG + 가/JKS
불법이기	불법/NNG + 이/VCP + 기/ETN
때문에'	때문/NNB + 에/JKB + '/SS
규격	규격/NNG
기준도	기준/NNG + 도/JX
없고	없/VA + 고/EC
감독	감독/NNG
행정도	행정/NNG + 도/JX
없는	없/VA + 는/ETM
'무법지대'다.	'/SS + 무법/NNG + 지대/NNG + '/SS + 이/VCP + 다/EF + ./SF

실제로	실제로/MAG
14일	14/SN + 일/NNB
한국부인회가	한국부인회/NNP + 가/JKS
발표한	발표/NNG + 하/XSV + ㄴ/ETM
시판	시판/NNG
생수	생수/NNG
수질	수질/NNG
검사에서도	검사/NNG + 에서/JKB + 도/JX
일부	일부/NNG
무허업체	무허/NNG + 업체/NNG
제품에서	제품/NNG + 에서/JKB
대량의	대량/NNG + 의/JKG
세균이	세균/NNG + 이/JKS
포함된	포함/NNG + 되/XSV + ㄴ/ETM
것으로	것/NNB + 으로/JKB
확인됐다.	확인/NNG + 되/XSV + 었/EP + 다/EF + ./SF

우리	우리/NP
나라에서	나라/NNG + 에서/JKB
생수업체가	생수/NNG + 업체/NNG + 가/JKS
가장	가장/MAG
많이	많이/MAG
몰려	몰리/VV + 어/EC
있는	있/VX + 는/ETM
곳은	곳/NNG + 은/JX
충북	충북/NNP
청원군	청원군/NNP
초정리	초정리/NNP
일대.	일대/NNG + ./SF

예로부터	예/NNG + 로부터/JKB
'초정	'/SS + 초정/NNP
약수'가	약수/NNG + '/SS + 가/JKS
유명했고,	유명/NNG + 하/XSA + 았/EP + 고/EC + ,/SP
지금도	지금/NNG + 도/JX
이렇다	이렇/VA + 다/EC
할	하/VV + ㄹ/ETM
산업시설이	산업/NNG + 시설/NNG + 이/JKS
많지	많/VA + 지/EC
않은	않/VX + 은/ETM
산중이라	산중/NNG + 이/VCP + 라/EC
'물'이	'/SS + 물/NNG + '/SS + 이/JKS
큰	크/VA + ㄴ/ETM
상품이	상품/NNG + 이/JKC
된	되/VV + ㄴ/ETM
곳이다.	곳/NNG + 이/VCP + 다/EF + ./SF

장대비가	장대비/NNG + 가/JKS
내리던	내리/VV + 던/ETM
13일.	13/SN + 일/NNB + ./SF

초정리	초정리/NNP
일대	일대/NNG
일부	일부/NNG
생수업체	생수/NNG + 업체/NNG
주변은	주변/NNG + 은/JX
생활오염물로	생활/NNG + 오염물/NNG + 로/JKB
가득	가득/MAG
차	차/VV + 아/EC
있었다.	있/VX + 었/EP + 다/EF + ./SF

생수의	생수/NNG + 의/JKG
생산	생산/NNG
과정과	과정/NNG + 과/JC
유통기한	유통/NNG + 기한/NNG
표시에도	표시/NNG + 에/JKB + 도/JX
문제점이	문제점/NNG + 이/JKS
발견됐다.	발견/NNG + 되/XSV + 었/EP + 다/EF + ./SF

증평읍	증평읍/NNP
남하2구	남하/NNP + 2/SN + 구/NNG
A사	A/SL + 사/NNG
증평	증평/NNP
공장.	공장/NNG + ./SF

담장	담장/NNG
너머	너머/NNG
바로	바로/MAG
수십	수십/NR
가구의	가구/NNG + 의/JKG
농가가	농가/NNG + 가/JKS
자리잡고	자리/NNG + 잡/VV + 고/EC
있고,	있/VX + 고/EC + ,/SP
돼지-오리	돼지/NNG + -/SS + 오리/NNG
수십	수십/NR
마리를	마리/NNB + 를/JKO
키우는	키우/VV + 는/ETM
축사와	축사/NNG + 와/JC
화장실과	화장실/NNG + 과/JC
두엄이	두엄/NNG + 이/JKS
공장	공장/NNG
바로	바로/MAG
옆에	옆/NNG + 에/JKB
붙어	붙/VV + 어/EC
있다.	있/VX + 다/EF + ./SF

내리는	내리/VV + 는/ETM
비와	비/NNG + 와/JKB
함께	함께/MAG
축사에서	축사/NNG + 에서/JKB
흘러나온	흘러나오/VV + ㄴ/ETM
가축	가축/NNG
배설물은	배설물/NNG + 은/JX
공장	공장/NNG
바로	바로/MAG
옆을	옆/NNG + 을/JKO
따라	따르/VV + 아/EC
흐르는	흐르/VV + 는/ETM
5m	5/SN + m/SL
폭의	폭/NNG + 의/JKG
개울로	개울/NNG + 로/JKB
섞여들어	섞이/VV + 어/EC + 들/VX + 어/EC
인접한	인접/NNG + 하/XSV + ㄴ/ETM
취수원을	취수원/NNG + 을/JKO
오염시킬	오염/NNG + 시키/XSV + ㄹ/ETM
가능성이	가능/NNG + 성/XSN + 이/JKS
높았다.	높/VA + 았/EP + 다/EF + ./SF

이	이/MM
같은	같/VA + 은/ETM
주위환경은	주위/NNG + 환경/NNG + 은/JX
지난해	지난해/NNG
한국식품연구소가	한국식품연구소/NNP + 가/JKS
생수	생수/NNG
시판	시판/NNG
허가에	허가/NNG + 에/JKB
대비해	대비/NNG + 하/XSV + 아/EC
마련한	마련/NNG + 하/XSV + ㄴ/ETM
광천	광천/NNG
음료수	음료수/NNG
제조업	제조업/NNG
시설	시설/NNG
기준안에	기준/NNG + 안/NNG + 에/JKB
완전히	완전히/MAG
어긋나는	어긋나/VV + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

생수업체의	생수/NNG + 업체/NNG + 의/JKG
취수원	취수원/NNG
반경	반경/NNG
2백m	2/SN + 백/NR + m/SL
내에	내/NNB + 에/JKB
들어서는	들/VV + 어서/EC + 는/JX
안될	안/MAG + 되/XSV + ㄹ/ETM
집단	집단/NNG
거주지-하천-쓰레기	거주지/NNG + -/SS + 하천/NNG + -/SS + 쓰레기/NNG
매립장	매립장/NNG
등	등/NNB
오염원이	오염원/NNG + 이/JKS
몰려	몰리/VV + 어/EC
있는	있/VX + 는/ETM
것.	것/NNB + ./SF

주민들은	주민/NNG + 들/XSN + 은/JX
"가축	"/SS + 가축/NNG
우리나	우리/NNG + 나/JC
변소에	변소/NNG + 에/JKB
대해	대하/VV + 아/EC
공장	공장/NNG
측에서	측/NNB + 에서/JKB
문제삼은	문제/NNG + 삼/VV + 은/ETM
적이	적/NNB + 이/JKS
없다"고	없/VA + 다/EC + "/SS + 고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

이	이/MM
곳에서	곳/NNG + 에서/JKB
승용차로	승용차/NNG + 로/JKB
5분	5/SN + 분/NNB
거리인	거리/NNG + 이/VCP + ㄴ/ETM
북일면	북일면/NNP
초정리.	초정리/NNP + ./SF

지하1백	지하/NNG + 1/SN + 백/NR
12m	12/SN + m/SL
암반층	암반층/NNG
아래서	아래/NNG + 서/JKB
하루	하루/NNG
2백t의	2/SN + 백/NR + t/SL + 의/JKG
생수를	생수/NNG + 를/JKO
3	3/SN
개의	개/NNB + 의/JKG
취수원을	취수원/NNG + 을/JKO
통해	통하/VV + 아/EC
길어올린다는	길/VV + 어/EC + 올리/VV + ㄴ다는/ETM
B사.	B/SL + 사/NNG + ./SF

모래-이온-자외선	모래/NNG + -/SS + 이온/NNG + -/SS + 자외선/NNG
등	등/NNB
15	15/SN
개의	개/NNB + 의/JKG
정수-살균	정수/NNG + -/SS + 살균/NNG
단계를	단계/NNG + 를/JKO
거친	거치/VV + ㄴ/ETM
생수도	생수/NNG + 도/JX
최종	최종/NNG
검사단계에서	검사/NNG + 단계/NNG + 에서/JKB
불합격품이	불/XPN + 합격품/NNG + 이/JKS
적지	적/VA + 지/EC
않게	않/VX + 게/EC
나왔다.	나오/VV + 았/EP + 다/EF + ./SF

제품	제품/NNG
밀봉을	밀봉/NNG + 을/JKO
직전	직전/NNG
눈으로	눈/NNG + 으로/JKB
확인하는	확인/NNG + 하/XSV + 는/ETM
과정에서	과정/NNG + 에서/JKB
18.9ℓ들이	18/SN + ./SP + 9/SN + ℓ/SW + 들이/NNG
제품	제품/NNG
6	6/SN
개가	개/NNB + 가/JKS
부유물이	부유물/NNG + 이/JKS
들어	들/VV + 어/EC
있어	있/VX + 어/EC
출고에서	출고/NNG + 에서/JKB
제외됐다.	제외/NNG + 되/XSV + 었/EP + 다/EF + ./SF

"신문지	"/SS + 신문지/NNG
조각	조각/NNG
등이	등/NNB + 이/JKS
들어	들/VV + 어/EC
있는	있/VX + 는/ETM
경우가	경우/NNG + 가/JKS
있다"고	있/VV + 다/EC + "/SS + 고/JKQ
점검	점검/NNG
담당	담당/NNG
여직원은	여직원/NNG + 은/JX
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

이날	이날/NNG
동행한	동행/NNG + 하/XSV + ㄴ/ETM
한국소비자연맹	한국소비자연맹/NNP
김성숙	김성숙/NNP
사무처장-조은희	사무/NNG + 처장/NNG + -/SS + 조은희/NNP
실험부장은	실험/NNG + 부장/NNG + 은/JX
"오전	"/SS + 오전/NNG
작업	작업/NNG
시간만도	시간/NNG + 만/JX + 도/JX
6	6/SN
개의	개/NNB + 의/JKG
불합격품이	불/XPN + 합격품/NNG + 이/JKS
나왔다면	나오/VV + 았/EP + 다면/EC
적은	적/VA + 은/ETM
것이	것/NNB + 이/JKC
아니다"며	아니/VCN + 다/EC + "/SS + 며/EC
"직원	"/SS + 직원/NNG
한	한/MM
사람이	사람/NNG + 이/JKS
생산품을	생산품/NNG + 을/JKO
다	다/MAG
확인할	확인/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있느냐"며	있/VV + 느냐/EC + "/SS + 며/EC
공정에	공정/NNG + 에/JKB
문제점을	문제점/NNG + 을/JKO
제기했다.	제기/NNG + 하/XSV + 았/EP + 다/EF + ./SF

상품의	상품/NNG + 의/JKG
유통	유통/NNG
기한	기한/NNG
표시	표시/NNG
방법과	방법/NNG + 과/JC
표시	표시/NNG
내용도	내용/NNG + 도/JX
문제로	문제/NNG + 로/JKB
지적됐다.	지적/NNG + 되/XSV + 었/EP + 다/EF + ./SF

생산	생산/NNG
라인을	라인/NNG + 을/JKO
막	막/MAG
빠져	빠지/VV + 어/EC
나온	나오/VV + ㄴ/ETM
18.9ℓ들이	18/SN + ./SP + 9/SN + ℓ/SW + 들이/XSN
용기에는	용기/NNG + 에/JKB + 는/JX
병마개	병마개/NNG
윗부분에	윗부분/NNG + 에/JKB
생산일과	생산일/NNG + 과/JC
유통기한이란	유통/NNG + 기한/NNG + 이/VCP + 란/ETM
글자	글자/NNG
없이	없이/MAG
'93·07·13'	'/SS + 93/SN + ·/SP + 07/SN + ·/SP + 13/SN + '/SS
'08·12'라는	'/SS + 08/SN + ·/SP + 12/SN + '/SS + 이/VCP + 라는/ETM
숫자만	숫자/NNG + 만/JX
두	두/MM
줄로	줄/NNG + 로/JKB
쓰여	쓰이/VV + 어/EC
있다.	있/VX + 다/EF + ./SF

그러나	그러나/MAJ
글씨가	글씨/NNG + 가/JKS
선명치	선명/NNG + 하/XSA + 지/EC
않고	않/VV + 고/EC
유통기한인	유통/NNG + 기한/NNG + 이/VCP + ㄴ/ETM
'08·12'는	'/SS + 08/SN + ·/SP + 12/SN + '/SS + 는/JX
정작	정작/NNG
연도	연도/NNG
표시가	표시/NNG + 가/JKS
없었다.	없/VA + 었/EP + 다/EF + ./SF

현재	현재/MAG
정부의	정부/NNG + 의/JKG
생산허가를	생산/NNG + 허가/NNG + 를/JKO
받은	받/VV + 은/ETM
생수는	생수/NNG + 는/JX
14	14/SN
개	개/NNB
제품.	제품/NNG + ./SF

외국인용	외국인/NNG + 용/XSN
판매와	판매/NNG + 와/JC
수출용으로	수출/NNG + 용/XSN + 으로/JKB
88년	88/SN + 년/NNB
일제히	일제히/MAG
허가를	허가/NNG + 를/JKO
내준	내주/VV + ㄴ/ETM
뒤	뒤/NNG
이들	이/NP + 들/XSN
업체가	업체/NNG + 가/JKS
계속	계속/MAG
